File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF770ENO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR485BEB	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0002046	thyroid gland	tissue	Homo sapiens										POLR2A-human	DNA						2017-01-30	ENCODE			450-650	1	1_1							/files/ENCFF517YBR/, /files/ENCFF356LFX/, /files/ENCFF096LGS/	107881	ENCODE Processing Pipeline	bd2dff120732f2b0c46c65ae2dd46731		https://www.encodeproject.org/files/ENCFF770ENO/@@download/ENCFF770ENO.bed.gz				released	s3://encode-public/2020/12/04/af1c6e60-022d-48e0-aa6a-0f376d4dc8bc/ENCFF770ENO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/af1c6e60-022d-48e0-aa6a-0f376d4dc8bc/ENCFF770ENO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF226BZE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DKM	TF ChIP-seq	/human-donors/ENCDO000ACT/	EFO:0002782	H54	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF243RDR/, /files/ENCFF171AIR/, /files/ENCFF949ZHJ/	329047	ENCODE Processing Pipeline	b663706fb15aa5ee7ae7dd0124c9d9b7		https://www.encodeproject.org/files/ENCFF226BZE/@@download/ENCFF226BZE.bed.gz				released	s3://encode-public/2020/12/27/a154505f-d1cb-4a90-ab76-650aebe2c9f1/ENCFF226BZE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/a154505f-d1cb-4a90-ab76-650aebe2c9f1/ENCFF226BZE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, mild to moderate bottlenecking		
ENCFF456FTV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DMK	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										POLR2A-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF193BNK/, /files/ENCFF191BDN/, /files/ENCFF797MVP/, /files/ENCFF356LFX/	418061	ENCODE Processing Pipeline	bad5a0370bcc1184fdf38807c1f672ff		https://www.encodeproject.org/files/ENCFF456FTV/@@download/ENCFF456FTV.bed.gz				released	s3://encode-public/2020/12/12/09474091-b768-48a3-b1aa-1f78c94d6e9b/ENCFF456FTV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/09474091-b768-48a3-b1aa-1f78c94d6e9b/ENCFF456FTV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, moderate library complexity, mild to moderate bottlenecking		
ENCFF211PWC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EXO	TF ChIP-seq	/human-donors/ENCDO272AAA/	CL:0000765	erythroblast	primary cell	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF534UTR/, /files/ENCFF035BSX/, /files/ENCFF356LFX/, /files/ENCFF356BAJ/	628364	ENCODE Processing Pipeline	b4c7ce7ff05e5fa9441ccbd3eb92993c		https://www.encodeproject.org/files/ENCFF211PWC/@@download/ENCFF211PWC.bed.gz				released	s3://encode-public/2020/12/12/433cdacc-1f0b-4470-94c5-8fb34ff62735/ENCFF211PWC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/433cdacc-1f0b-4470-94c5-8fb34ff62735/ENCFF211PWC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking		
ENCFF779EDF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR031KWR	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0002369	adrenal gland	tissue	Homo sapiens										POLR2A-human	DNA						2017-04-04	ENCODE			450-650	1	1_1							/files/ENCFF774VLR/, /files/ENCFF431JOS/, /files/ENCFF356LFX/	246473	ENCODE Processing Pipeline	45d9d93c7734709598cfd58f01d2a4b6		https://www.encodeproject.org/files/ENCFF779EDF/@@download/ENCFF779EDF.bed.gz				released	s3://encode-public/2020/11/29/f6ff8dd6-17d0-4ea7-bd03-bb5ea9cd6eba/ENCFF779EDF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/29/f6ff8dd6-17d0-4ea7-bd03-bb5ea9cd6eba/ENCFF779EDF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF569MJS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR412QGD	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0002369	adrenal gland	tissue	Homo sapiens										POLR2A-human	DNA						2017-01-30	ENCODE			450-650	1	1_1							/files/ENCFF471HLD/, /files/ENCFF356LFX/, /files/ENCFF140GGU/	591994	ENCODE Processing Pipeline	f7d9a94f1f53bd63566a2277967a3574		https://www.encodeproject.org/files/ENCFF569MJS/@@download/ENCFF569MJS.bed.gz				released	s3://encode-public/2020/12/04/2b5d8560-79e0-4862-b8a1-d8fd5aca15dd/ENCFF569MJS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/2b5d8560-79e0-4862-b8a1-d8fd5aca15dd/ENCFF569MJS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF493EPF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR091CSG	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-20	ENCODE			450-650	1	1_1							/files/ENCFF916XQX/, /files/ENCFF356LFX/, /files/ENCFF379QKZ/	302326	ENCODE Processing Pipeline	d4cb9a46ae65a6775ba33edd9f407ccc		https://www.encodeproject.org/files/ENCFF493EPF/@@download/ENCFF493EPF.bed.gz				released	s3://encode-public/2020/11/29/ffa87d68-abeb-4fe9-8682-3a5208878348/ENCFF493EPF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/29/ffa87d68-abeb-4fe9-8682-3a5208878348/ENCFF493EPF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF967TFR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR803FAP	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000473	testis	tissue	Homo sapiens										POLR2A-human	DNA						2017-01-30	ENCODE			450-650	1	1_1							/files/ENCFF971TCR/, /files/ENCFF405HKS/, /files/ENCFF356LFX/	90162	ENCODE Processing Pipeline	835417a30455e76ac3497e0ccd18e18f		https://www.encodeproject.org/files/ENCFF967TFR/@@download/ENCFF967TFR.bed.gz				released	s3://encode-public/2020/12/02/77ac5ad2-8cf1-4e31-b802-7b0f62afd04f/ENCFF967TFR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/77ac5ad2-8cf1-4e31-b802-7b0f62afd04f/ENCFF967TFR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF473YGW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR734ZOZ	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-20	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF289YAH/, /files/ENCFF200OBF/	3926	ENCODE Processing Pipeline	f54bdcb9f3932757519c27f0a6ff3bc6		https://www.encodeproject.org/files/ENCFF473YGW/@@download/ENCFF473YGW.bed.gz				released	s3://encode-public/2020/12/04/45e37c42-22f5-4a8e-984f-9952d7c4eb38/ENCFF473YGW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/45e37c42-22f5-4a8e-984f-9952d7c4eb38/ENCFF473YGW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF216PEY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR401ORC	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0000996	vagina	tissue	Homo sapiens										POLR2A-human	DNA						2017-01-30	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF003DLR/, /files/ENCFF170ZWT/	224365	ENCODE Processing Pipeline	dfd851ef17c1ad1fb3d035795023ad0c		https://www.encodeproject.org/files/ENCFF216PEY/@@download/ENCFF216PEY.bed.gz				released	s3://encode-public/2020/11/27/36aba807-5ce8-48de-a720-c1e5ebad06e2/ENCFF216PEY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/27/36aba807-5ce8-48de-a720-c1e5ebad06e2/ENCFF216PEY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF105LDY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR754DWU	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0000992	ovary	tissue	Homo sapiens										POLR2A-human	DNA						2017-01-30	ENCODE			450-650	1	1_1							/files/ENCFF467PEB/, /files/ENCFF149DIN/, /files/ENCFF356LFX/	271943	ENCODE Processing Pipeline	5844ad5c393ca5f8671acdad96a2e3c5		https://www.encodeproject.org/files/ENCFF105LDY/@@download/ENCFF105LDY.bed.gz				released	s3://encode-public/2020/12/02/e2cc49bc-ada6-481a-89e5-b9030397cca9/ENCFF105LDY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/e2cc49bc-ada6-481a-89e5-b9030397cca9/ENCFF105LDY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF890XQW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR974HQI	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0001157	transverse colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF538FCL/, /files/ENCFF850URM/, /files/ENCFF356LFX/	10483	ENCODE Processing Pipeline	ffe5337dc3333f4b400f9df3883169ec		https://www.encodeproject.org/files/ENCFF890XQW/@@download/ENCFF890XQW.bed.gz				released	s3://encode-public/2020/11/30/1c33e467-28cf-4118-96fd-20d48e310c73/ENCFF890XQW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/30/1c33e467-28cf-4118-96fd-20d48e310c73/ENCFF890XQW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption, control low read depth		
ENCFF836KEF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR107EUS	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0001157	transverse colon	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF164BXK/, /files/ENCFF356LFX/, /files/ENCFF384QYB/	144468	ENCODE Processing Pipeline	6028f7c69d5c1691121a978de409339b		https://www.encodeproject.org/files/ENCFF836KEF/@@download/ENCFF836KEF.bed.gz				released	s3://encode-public/2020/11/29/3a4af489-60b5-4ff7-a395-e8f0eff3fbf7/ENCFF836KEF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/29/3a4af489-60b5-4ff7-a395-e8f0eff3fbf7/ENCFF836KEF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption, control low read depth		
ENCFF502RVO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR122EYE	TF ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF586WHQ/, /files/ENCFF356LFX/, /files/ENCFF108IXN/	131290	ENCODE Processing Pipeline	9455ca03d9406da394a6b43195606f26		https://www.encodeproject.org/files/ENCFF502RVO/@@download/ENCFF502RVO.bed.gz				released	s3://encode-public/2020/11/28/d9aececb-a18a-44f4-a38e-f2aaed162070/ENCFF502RVO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/d9aececb-a18a-44f4-a38e-f2aaed162070/ENCFF502RVO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, control low read depth		
