File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF413ZSC	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR114HGS	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 2_1							/files/ENCFF085GRM/, /files/ENCFF428RUF/, /files/ENCFF755OQZ/, /files/ENCFF529MUW/	2131968	John Lis, Cornell	de5fa6245327e061221aa4a67e6d9d2c		https://www.encodeproject.org/files/ENCFF413ZSC/@@download/ENCFF413ZSC.bed.gz				released	s3://encode-public/2021/11/19/c2c9032d-acb3-4bb6-a899-e1d449f585f9/ENCFF413ZSC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/c2c9032d-acb3-4bb6-a899-e1d449f585f9/ENCFF413ZSC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF507WDG	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR114HGS	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 2_1							/files/ENCFF085GRM/, /files/ENCFF428RUF/, /files/ENCFF755OQZ/, /files/ENCFF529MUW/	348339	John Lis, Cornell	10964a224febfa818de77d849ebd5c66		https://www.encodeproject.org/files/ENCFF507WDG/@@download/ENCFF507WDG.bed.gz				released	s3://encode-public/2021/11/19/a69574fa-f06d-4d36-a6e9-427e4d146aab/ENCFF507WDG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/a69574fa-f06d-4d36-a6e9-427e4d146aab/ENCFF507WDG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF396MZI	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR100LIJ	PRO-cap	/human-donors/ENCDO000ACR/	EFO:0001099	Caco-2	cell line	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1, 2	1_1, 2_1							/files/ENCFF389WZQ/, /files/ENCFF274DDH/, /files/ENCFF294OQK/, /files/ENCFF017JZW/	669796	Haiyuan Yu, Cornell	3fe1503d7125bac2e39ab0aa36367226		https://www.encodeproject.org/files/ENCFF396MZI/@@download/ENCFF396MZI.bed.gz				released	s3://encode-public/2022/02/04/9d6b3a0c-4085-4b06-8b38-03940832ea07/ENCFF396MZI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/04/9d6b3a0c-4085-4b06-8b38-03940832ea07/ENCFF396MZI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF814YZW	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR100LIJ	PRO-cap	/human-donors/ENCDO000ACR/	EFO:0001099	Caco-2	cell line	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1, 2	1_1, 2_1							/files/ENCFF389WZQ/, /files/ENCFF274DDH/, /files/ENCFF294OQK/, /files/ENCFF017JZW/	182645	Haiyuan Yu, Cornell	b2099e952a93a21ce79380ec12b32b6d		https://www.encodeproject.org/files/ENCFF814YZW/@@download/ENCFF814YZW.bed.gz				released	s3://encode-public/2022/02/04/f51192f5-a764-4d25-be15-d735a26050e5/ENCFF814YZW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/04/f51192f5-a764-4d25-be15-d735a26050e5/ENCFF814YZW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF122NQB	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR098LLB	PRO-cap	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1	1_1							/files/ENCFF813ICU/, /files/ENCFF786BFT/, /files/ENCFF381GHG/, /files/ENCFF889RME/	402083	Haiyuan Yu, Cornell	aeabf4c94b3dd92f107b773c570686c1		https://www.encodeproject.org/files/ENCFF122NQB/@@download/ENCFF122NQB.bed.gz				released	s3://encode-public/2022/02/16/8688d982-9f71-4a92-932f-6715a36dbceb/ENCFF122NQB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/16/8688d982-9f71-4a92-932f-6715a36dbceb/ENCFF122NQB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF931HXJ	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR098LLB	PRO-cap	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1	1_1							/files/ENCFF813ICU/, /files/ENCFF786BFT/, /files/ENCFF381GHG/, /files/ENCFF889RME/	126194	Haiyuan Yu, Cornell	834ce5a4c612881987ca34a169261f82		https://www.encodeproject.org/files/ENCFF931HXJ/@@download/ENCFF931HXJ.bed.gz				released	s3://encode-public/2022/02/16/261b8bab-a67f-4cba-97b5-dbc54822a2a0/ENCFF931HXJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/16/261b8bab-a67f-4cba-97b5-dbc54822a2a0/ENCFF931HXJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF819VDW	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR935RNW	PRO-cap	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1, 2	1_1, 2_1							/files/ENCFF671MMN/, /files/ENCFF057MGW/, /files/ENCFF585UOU/, /files/ENCFF956EQV/	177958	Haiyuan Yu, Cornell	43a7dc0b50f1e44ba3e045e3d1beab1b		https://www.encodeproject.org/files/ENCFF819VDW/@@download/ENCFF819VDW.bed.gz				released	s3://encode-public/2022/02/04/0a7250d8-4597-4e21-adc7-a2b762d157aa/ENCFF819VDW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/04/0a7250d8-4597-4e21-adc7-a2b762d157aa/ENCFF819VDW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF982XOO	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR935RNW	PRO-cap	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1, 2	1_1, 2_1							/files/ENCFF671MMN/, /files/ENCFF057MGW/, /files/ENCFF585UOU/, /files/ENCFF956EQV/	674187	Haiyuan Yu, Cornell	9906043cf347c9ba4049aaa8b2e6ebc8		https://www.encodeproject.org/files/ENCFF982XOO/@@download/ENCFF982XOO.bed.gz				released	s3://encode-public/2022/02/04/210531cc-1835-4484-b34b-359f6b6e4117/ENCFF982XOO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/04/210531cc-1835-4484-b34b-359f6b6e4117/ENCFF982XOO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF636REV	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR261KBX	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 2_1							/files/ENCFF994CSC/, /files/ENCFF580QEK/, /files/ENCFF253HUA/, /files/ENCFF328OOU/	151860	John Lis, Cornell	f07d6aa289a9e82aecab083103c66a09		https://www.encodeproject.org/files/ENCFF636REV/@@download/ENCFF636REV.bed.gz				released	s3://encode-public/2021/11/19/96a0b63d-1b2d-4983-baeb-f9c1167a9fe5/ENCFF636REV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/96a0b63d-1b2d-4983-baeb-f9c1167a9fe5/ENCFF636REV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF819CPA	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR261KBX	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 2_1							/files/ENCFF994CSC/, /files/ENCFF580QEK/, /files/ENCFF253HUA/, /files/ENCFF328OOU/	417283	John Lis, Cornell	810c1905f6124225e6306a5f9f15e65c		https://www.encodeproject.org/files/ENCFF819CPA/@@download/ENCFF819CPA.bed.gz				released	s3://encode-public/2021/11/19/bbdbd2e0-a168-4577-b258-9b2061fce462/ENCFF819CPA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/bbdbd2e0-a168-4577-b258-9b2061fce462/ENCFF819CPA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF045MXI	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR046BCI	PRO-cap	/human-donors/ENCDO027VXA/	EFO:0002106	A673	cell line	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1, 2	1_1, 2_1							/files/ENCFF919OPH/, /files/ENCFF367BRG/, /files/ENCFF047AKH/, /files/ENCFF821CMX/, /files/ENCFF873TEZ/, /files/ENCFF925SLM/, /files/ENCFF868YKU/, /files/ENCFF707IDB/	205617	Haiyuan Yu, Cornell	2656c65ff0d36d3369f0d924656fbaa5		https://www.encodeproject.org/files/ENCFF045MXI/@@download/ENCFF045MXI.bed.gz				released	s3://encode-public/2022/02/04/9a0f2534-11c1-4ccf-9ff3-1c0b9f746fc2/ENCFF045MXI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/04/9a0f2534-11c1-4ccf-9ff3-1c0b9f746fc2/ENCFF045MXI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF268UEL	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR046BCI	PRO-cap	/human-donors/ENCDO027VXA/	EFO:0002106	A673	cell line	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1, 2	1_1, 2_1							/files/ENCFF919OPH/, /files/ENCFF367BRG/, /files/ENCFF047AKH/, /files/ENCFF821CMX/, /files/ENCFF873TEZ/, /files/ENCFF925SLM/, /files/ENCFF868YKU/, /files/ENCFF707IDB/	699351	Haiyuan Yu, Cornell	9091e8327623d8666c4f980f46de3ef8		https://www.encodeproject.org/files/ENCFF268UEL/@@download/ENCFF268UEL.bed.gz				released	s3://encode-public/2022/02/04/89c4f5b4-4206-4754-82bc-b3e72f5892b7/ENCFF268UEL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/04/89c4f5b4-4206-4754-82bc-b3e72f5892b7/ENCFF268UEL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
