gid	n_total_ss	n_ss	n_rt_ss	perc	perc_rt	Name	does It need fix	diff
ENSG00000283580	6	6	5	100	83.33333333333334	TALONT000792848		16.66666667
ENSG00000112096	6	6	6	100	100	TALONT001118744		0
ENSG00000112096	8	6	7	75	87.5	TALONT001118835		-12.5
ENSG00000112096	8	6	7	75	87.5	TALONT001118871		-12.5
ENSG00000266086	6	6	5	100	83.33333333333334	TALONT000874657		16.66666667
ENSG00000215769	10	6	4	60	40	TALONT000926314		20
ENSG00000256591	8	6	6	75	75	TALONT000909203		0
ENSG00000250709	6	6	3	100	50	TALONT000242447		50
ENSG00000120948	6	6	6	100	100	TALONT000433356		0
ENSG00000272917	8	6	7	75	87.5	TALONT000397359		-12.5
ENSG00000272917	8	6	5	75	62.5	TALONT000397359		12.5
ENSG00000273032	6	6	6	100	100	TALONT000341061		0
ENSG00000256591	8	5	7	62.5	87.5	TALONT000909041		-25
ENSG00000256591	6	5	5	83.33333333333334	83.33333333333334	TALONT000908976		0
ENSG00000148824	6	5	1	83.33333333333334	16.666666666666664	TALONT001531840		66.66666667
ENSG00000261884	6	5	6	83.33333333333334	100	TALONT000747980		-16.66666667
ENSG00000112096	6	5	6	83.33333333333334	100	TALONT001119318		-16.66666667
ENSG00000137878	6	5	6	83.33333333333334	100	TALONT000410987		-16.66666667
ENSG00000272917	6	5	5	83.33333333333334	83.33333333333334	TALONT000397377		0
ENSG00000272917	6	5	5	83.33333333333334	83.33333333333334	TALONT000397377		0
ENSG00000273032	8	5	8	62.5	100	TALONT000341096		-37.5
ENSG00000285762	6	5	6	83.33333333333334	100	TALONT000385143		-16.66666667
ENSG00000271147	6	5	6	83.33333333333334	100	TALONT000504522		-16.66666667
ENSG00000267120	6	5	6	83.33333333333334	100	TALONT000756915		-16.66666667
ENSG00000267120	6	5	5	83.33333333333334	83.33333333333334	TALONT000756927		0
ENSG00000251201	6	5	4	83.33333333333334	66.66666666666666	TALONT000513944		16.66666667
ENSG00000112096	4	4	4	100	100	TALONT001118729		0
ENSG00000266086	4	4	2	100	50	TALONT000873770		50
ENSG00000214922	4	4	3	100	75	TALONT000920002		25
ENSG00000248235	4	4	4	100	100	TALONT000889717		0
ENSG00000283663	4	4	4	100	100	TALONT000960368		0
ENSG00000272752	4	4	4	100	100	TALONT000690022		0
ENSG00000254929	6	4	6	66.66666666666666	100	TALONT000377473		-33.33333333
ENSG00000285725	6	4	2	66.66666666666666	33.33333333333333	TALONT000654487		33.33333333
ENSG00000285725	6	4	1	66.66666666666666	16.666666666666664	TALONT000654487		50
ENSG00000259529	4	4	4	100	100	TALONT000467175		0
ENSG00000167807	4	4	4	100	100	TALONT000516339		0
ENSG00000267303	4	4	4	100	100	TALONT000516690		0
ENSG00000271147	8	4	8	50	100	TALONT000504930		-50
ENSG00000120948	4	4	4	100	100	TALONT000433367		0
ENSG00000226380	4	3	1	75	25	TALONT000788517		50
ENSG00000275778	4	3	3	75	75	TALONT000411570		0
ENSG00000275778	4	3	3	75	75	TALONT000411570		0
ENSG00000124593	4	3	3	75	75	TALONT000981293		0
ENSG00000214719	4	3	3	75	75	TALONT000554524		0
ENSG00000285725	4	3	1	75	25	TALONT000654527		50
ENSG00000285725	4	3	1	75	25	TALONT000654527		50
ENSG00000268163	4	3	4	75	100	TALONT001741404		-25
ENSG00000214719	4	3	4	75	100	TALONT000554527		-25
ENSG00000261740	4	3	2	75	50	TALONT000579329		25
ENSG00000112096	2	2	2	100	100	TALONT001118811		0
ENSG00000112096	2	2	2	100	100	TALONT001118733		0
ENSG00000026036	2	2	2	100	100	TALONT001116478		0
ENSG00000254806	2	2	2	100	100	TALONT001096012		0
ENSG00000261884	2	2	2	100	100	TALONT000748037		0
ENSG00000243466	6	2	1	33.33333333333333	16.666666666666664	TALONT000737111		16.66666667
ENSG00000243466	6	2	1	33.33333333333333	16.666666666666664	TALONT000736898		16.66666667
ENSG00000243466	6	2	1	33.33333333333333	16.666666666666664	TALONT000736047		16.66666667
ENSG00000243466	6	2	1	33.33333333333333	16.666666666666664	TALONT000736009		16.66666667
ENSG00000243466	6	2	1	33.33333333333333	16.666666666666664	TALONT000736005		16.66666667
ENSG00000242076	6	2	1	33.33333333333333	16.666666666666664	TALONT000736093		16.66666667
ENSG00000242076	6	2	1	33.33333333333333	16.666666666666664	TALONT000736108		16.66666667
ENSG00000243466	6	2	1	33.33333333333333	16.666666666666664	TALONT000736113		16.66666667
ENSG00000253435	6	2	1	33.33333333333333	16.666666666666664	TALONT000736419		16.66666667
ENSG00000272752	2	2	2	100	100	TALONT000690057		0
ENSG00000215472	2	2	2	100	100	TALONT000326914		0
ENSG00000261740	2	2	1	100	50	TALONT000579331		50
ENSG00000270580	2	2	2	100	100	TALONT000473107		0
ENSG00000254709	6	2	2	33.33333333333333	33.33333333333333	TALONT000369757		0
ENSG00000120948	2	2	2	100	100	TALONT000433378		0
ENSG00000283189	4	2	2	50	50	TALONT000560027		0
ENSG00000266086	2	2	2	100	100	TALONT000874304		0
ENSG00000248710	2	2	2	100	100	TALONT000904832		0
ENSG00000273471	2	1	2	50	100	TALONT000789753		-50
ENSG00000273471	2	1	1	50	50	TALONT000789753		0
ENSG00000256591	2	1	1	50	50	TALONT000909066		0
ENSG00000226380	2	1	1	50	50	TALONT000788355		0
ENSG00000258472	2	1	2	50	100	TALONT000526060		-50
ENSG00000271793	2	1	2	50	100	TALONT001048604		-50
ENSG00000243466	6	1	1	16.666666666666664	16.666666666666664	TALONT000736525		0
ENSG00000284707	8	1	7	12.5	87.5	TALONT000654365		-75
ENSG00000284707	6	1	5	16.666666666666664	83.33333333333334	TALONT000654354		-66.66666667
ENSG00000273032	4	1	4	25	100	TALONT001178568		-75
ENSG00000283684	2	1	2	50	100	TALONT001588187		-50
ENSG00000283684	2	1	1	50	50	TALONT001588187		0
