Name	known	gene_id	n_ss	rank	rt_gene	annot_transcript_id_x	transcript_novelty	gene_novelty	n_genes	gene_ids	n_genes_no_rt	gene_ids_no_rt	gid	annot_transcript_id_y
TALONT002800029	True	ENSG00000213999	14	1	False	TALONT002800029	NIC	Known	2	ENSG00000213999,ENSG00000064489	1.0	ENSG00000213999	ENSG00000064489	TALONT002800029
TALONT000431066	True	ENSG00000277726	14	1	False	TALONT000431066	NIC	Known	2	ENSG00000120948,ENSG00000277726	1.0	ENSG00000277726	ENSG00000120948	TALONT000431066
TALONT000637495	True	ENSG00000156873	14	1	False	TALONT000637495	ISM	Known	2	ENSG00000156873,ENSG00000260899	1.0	ENSG00000156873	ENSG00000260899	TALONT000637495
TALONT004125006	True	ENSG00000213999	14	1	False	TALONT004125006	ISM	Known	2	ENSG00000213999,ENSG00000064489	1.0	ENSG00000213999	ENSG00000064489	TALONT004125006
TALONT000988203	True	ENSG00000250506	13	2	False	TALONT000988203	ISM	Known	2	ENSG00000250506,ENSG00000261408	1.0	ENSG00000250506	ENSG00000261408	TALONT000988203
TALONT000628587	True	ENSG00000261052	12	2	False	TALONT000628587	ISM	Known	2	ENSG00000213599,ENSG00000261052	1.0	ENSG00000261052	ENSG00000213599	TALONT000628587
TALONT001116868	True	ENSG00000197114	12	2	False	TALONT001116868	NIC	Known	4	ENSG00000273154,ENSG00000197114,ENSG00000203896,ENSG00000273047	1.0	ENSG00000197114	ENSG00000273154	TALONT001116868
TALONT001116827	True	ENSG00000197114	12	1	False	TALONT001116827	NIC	Known	2	ENSG00000197114,ENSG00000273154	1.0	ENSG00000197114	ENSG00000273154	TALONT001116827
TALONT000648661	True	ENSG00000160408	12	1	False	TALONT000648661	NIC	Known	2	ENSG00000160408,ENSG00000257524	1.0	ENSG00000160408	ENSG00000257524	TALONT000648661
TALONT000648534	True	ENSG00000160408	12	1	False	TALONT000648534	ISM	Known	2	ENSG00000160408,ENSG00000257524	1.0	ENSG00000160408	ENSG00000257524	TALONT000648534
TALONT000648539	True	ENSG00000160408	12	1	False	TALONT000648539	ISM	Known	2	ENSG00000160408,ENSG00000257524	1.0	ENSG00000160408	ENSG00000257524	TALONT000648539
TALONT000302825	True	ENSG00000243789	12	1	False	TALONT000302825	ISM	Known	2	ENSG00000168970,ENSG00000243789	1.0	ENSG00000243789	ENSG00000168970	TALONT000302825
TALONT000689905	True	ENSG00000121716	12	2	False	TALONT000689905	ISM	Known	2	ENSG00000272752,ENSG00000121716	1.0	ENSG00000121716	ENSG00000272752	TALONT000689905
TALONT000466371	True	ENSG00000213928	12	2	False	TALONT000466371	ISM	Known	2	ENSG00000259529,ENSG00000213928	1.0	ENSG00000213928	ENSG00000259529	TALONT000466371
TALONT001622147	True	ENSG00000160408	12	1	False	TALONT001622147	ISM	Known	2	ENSG00000257524,ENSG00000160408	1.0	ENSG00000160408	ENSG00000257524	TALONT001622147
TALONT000757499	True	ENSG00000161265	12	1	False	TALONT000757499	NIC	Known	2	ENSG00000161265,ENSG00000267120	1.0	ENSG00000161265	ENSG00000267120	TALONT000757499
TALONT000560249	True	ENSG00000095059	12	1	False	TALONT000560249	NIC	Known	2	ENSG00000095059,ENSG00000285589	1.0	ENSG00000095059	ENSG00000285589	TALONT000560249
TALONT000950767	True	ENSG00000241404	12	2	False	TALONT000950767	ISM	Known	2	ENSG00000258388,ENSG00000241404	1.0	ENSG00000241404	ENSG00000258388	TALONT000950767
TALONT000431076	True	ENSG00000277726	12	1	False	TALONT000431076	ISM	Known	2	ENSG00000277726,ENSG00000120948	1.0	ENSG00000277726	ENSG00000120948	TALONT000431076
TALONT000431260	True	ENSG00000277726	12	2	False	TALONT000431260	NIC	Known	2	ENSG00000120948,ENSG00000277726	1.0	ENSG00000277726	ENSG00000120948	TALONT000431260
TALONT000446694	True	ENSG00000175106	12	2	False	TALONT000446694	NIC	Known	3	ENSG00000259024,ENSG00000175106,ENSG00000239704	1.0	ENSG00000175106	ENSG00000259024	TALONT000446694
TALONT000446720	True	ENSG00000175106	12	2	False	TALONT000446720	NIC	Known	3	ENSG00000259024,ENSG00000175106,ENSG00000239704	1.0	ENSG00000175106	ENSG00000259024	TALONT000446720
TALONT000447845	True	ENSG00000175106	12	1	False	TALONT000447845	ISM	Known	2	ENSG00000259024,ENSG00000175106	1.0	ENSG00000175106	ENSG00000259024	TALONT000447845
TALONT000580383	True	ENSG00000213648	12	2	False	TALONT000580383	ISM	Known	2	ENSG00000213648,ENSG00000260280	1.0	ENSG00000213648	ENSG00000260280	TALONT000580383
TALONT000983726	True	ENSG00000182450	12	2	False	TALONT000983726	ISM	Known	2	ENSG00000257069,ENSG00000182450	1.0	ENSG00000182450	ENSG00000257069	TALONT000983726
TALONT000737658	True	ENSG00000135392	12	1	False	TALONT000737658	ISM	Known	2	ENSG00000135392,ENSG00000257390	1.0	ENSG00000135392	ENSG00000257390	TALONT000737658
TALONT000902203	True	ENSG00000151967	11	2	False	TALONT000902203	NIC	Known	2	ENSG00000283154,ENSG00000151967	1.0	ENSG00000151967	ENSG00000283154	TALONT000902203
TALONT000431147	True	ENSG00000277726	11	2	False	TALONT000431147	NIC	Known	2	ENSG00000120948,ENSG00000277726	1.0	ENSG00000277726	ENSG00000120948	TALONT000431147
TALONT000902302	True	ENSG00000151967	11	2	False	TALONT000902302	NIC	Known	2	ENSG00000283154,ENSG00000151967	1.0	ENSG00000151967	ENSG00000283154	TALONT000902302
TALONT000902091	True	ENSG00000151967	11	2	False	TALONT000902091	NIC	Known	2	ENSG00000283154,ENSG00000151967	1.0	ENSG00000151967	ENSG00000283154	TALONT000902091
TALONT000647810	True	ENSG00000106992	11	1	False	TALONT000647810	ISM	Known	2	ENSG00000257524,ENSG00000106992	1.0	ENSG00000106992	ENSG00000257524	TALONT000647810
TALONT000902232	True	ENSG00000151967	11	2	False	TALONT000902232	NIC	Known	2	ENSG00000283154,ENSG00000151967	1.0	ENSG00000151967	ENSG00000283154	TALONT000902232
TALONT000902227	True	ENSG00000151967	11	2	False	TALONT000902227	NIC	Known	2	ENSG00000283154,ENSG00000151967	1.0	ENSG00000151967	ENSG00000283154	TALONT000902227
TALONT000902318	True	ENSG00000151967	11	2	False	TALONT000902318	ISM	Known	2	ENSG00000283154,ENSG00000151967	1.0	ENSG00000151967	ENSG00000283154	TALONT000902318
TALONT000902321	True	ENSG00000151967	11	2	False	TALONT000902321	ISM	Known	2	ENSG00000283154,ENSG00000151967	1.0	ENSG00000151967	ENSG00000283154	TALONT000902321
TALONT000446832	True	ENSG00000175106	11	2	False	TALONT000446832	NIC	Known	3	ENSG00000259024,ENSG00000175106,ENSG00000239704	1.0	ENSG00000175106	ENSG00000259024	TALONT000446832
TALONT000446670	True	ENSG00000175106	11	2	False	TALONT000446670	NIC	Known	3	ENSG00000259024,ENSG00000175106,ENSG00000239704	1.0	ENSG00000175106	ENSG00000259024	TALONT000446670
TALONT000647086	True	ENSG00000106992	11	2	False	TALONT000647086	ISM	Known	2	ENSG00000257524,ENSG00000106992	1.0	ENSG00000106992	ENSG00000257524	TALONT000647086
TALONT001122495	True	ENSG00000143543	10	1	False	TALONT001122495	ISM	Known	3	ENSG00000143543,ENSG00000285641,ENSG00000285779	1.0	ENSG00000143543	ENSG00000285641	TALONT001122495
TALONT001116925	True	ENSG00000197114	10	2	False	TALONT001116925	ISM	Known	2	ENSG00000273154,ENSG00000197114	1.0	ENSG00000197114	ENSG00000273154	TALONT001116925
TALONT000268735	True	ENSG00000197417	10	2	False	TALONT000268735	NIC	Known	2	ENSG00000262304,ENSG00000197417	1.0	ENSG00000197417	ENSG00000262304	TALONT000268735
TALONT000446706	True	ENSG00000175106	10	2	False	TALONT000446706	NIC	Known	3	ENSG00000259024,ENSG00000175106,ENSG00000239704	1.0	ENSG00000175106	ENSG00000259024	TALONT000446706
TALONT002277371	True	ENSG00000213999	10	1	False	TALONT002277371	ISM	Known	2	ENSG00000213999,ENSG00000064489	1.0	ENSG00000213999	ENSG00000064489	TALONT002277371
TALONT000560239	True	ENSG00000095059	10	2	False	TALONT000560239	NIC	Known	2	ENSG00000285589,ENSG00000095059	1.0	ENSG00000095059	ENSG00000285589	TALONT000560239
TALONT000431769	True	ENSG00000277726	10	2	False	TALONT000431769	NIC	Known	2	ENSG00000120948,ENSG00000277726	1.0	ENSG00000277726	ENSG00000120948	TALONT000431769
TALONT001622087	True	ENSG00000160408	10	1	False	TALONT001622087	ISM	Known	2	ENSG00000160408,ENSG00000257524	1.0	ENSG00000160408	ENSG00000257524	TALONT001622087
TALONT001622089	True	ENSG00000160408	10	1	False	TALONT001622089	ISM	Known	2	ENSG00000160408,ENSG00000257524	1.0	ENSG00000160408	ENSG00000257524	TALONT001622089
TALONT001701586	True	ENSG00000182450	10	1	False	TALONT001701586	NIC	Known	2	ENSG00000182450,ENSG00000257069	1.0	ENSG00000182450	ENSG00000257069	TALONT001701586
TALONT000392415	True	ENSG00000284128	10	1	False	TALONT000392415	NIC	Known	2	ENSG00000284128,ENSG00000215481	1.0	ENSG00000284128	ENSG00000215481	TALONT000392415
TALONT000948969	True	ENSG00000076554	10	1	False	TALONT000948969	ISM	Known	2	ENSG00000076554,ENSG00000276418	1.0	ENSG00000076554	ENSG00000276418	TALONT000948969
TALONT000648625	True	ENSG00000160408	10	2	False	TALONT000648625	NIC	Known	2	ENSG00000257524,ENSG00000160408	1.0	ENSG00000160408	ENSG00000257524	TALONT000648625
TALONT000648921	True	ENSG00000160408	10	2	False	TALONT000648921	ISM	Known	2	ENSG00000257524,ENSG00000160408	1.0	ENSG00000160408	ENSG00000257524	TALONT000648921
TALONT000648762	True	ENSG00000160408	10	1	False	TALONT000648762	ISM	Known	2	ENSG00000160408,ENSG00000257524	1.0	ENSG00000160408	ENSG00000257524	TALONT000648762
TALONT000648490	True	ENSG00000160408	10	1	False	TALONT000648490	ISM	Known	2	ENSG00000257524,ENSG00000160408	1.0	ENSG00000160408	ENSG00000257524	TALONT000648490
TALONT000648473	True	ENSG00000160408	10	2	False	TALONT000648473	ISM	Known	2	ENSG00000257524,ENSG00000160408	1.0	ENSG00000160408	ENSG00000257524	TALONT000648473
TALONT000648453	True	ENSG00000160408	10	1	False	TALONT000648453	ISM	Known	2	ENSG00000160408,ENSG00000257524	1.0	ENSG00000160408	ENSG00000257524	TALONT000648453
TALONT000648451	True	ENSG00000160408	10	2	False	TALONT000648451	ISM	Known	2	ENSG00000257524,ENSG00000160408	1.0	ENSG00000160408	ENSG00000257524	TALONT000648451
TALONT001061770	True	ENSG00000088876	10	1	False	TALONT001061770	ISM	Known	2	ENSG00000088876,ENSG00000256566	1.0	ENSG00000088876	ENSG00000256566	TALONT001061770
TALONT000874281	True	ENSG00000136450	10	1	False	TALONT000874281	ISM	Known	2	ENSG00000136450,ENSG00000266086	1.0	ENSG00000136450	ENSG00000266086	TALONT000874281
TALONT000637622	True	ENSG00000156873	10	1	False	TALONT000637622	ISM	Known	2	ENSG00000156873,ENSG00000260899	1.0	ENSG00000156873	ENSG00000260899	TALONT000637622
TALONT000643472	True	ENSG00000100288	10	1	False	TALONT000643472	ISM	Known	2	ENSG00000100288,ENSG00000254413	1.0	ENSG00000100288	ENSG00000254413	TALONT000643472
TALONT000761310	True	ENSG00000239382	10	1	False	TALONT000761310	ISM	Known	2	ENSG00000239382,ENSG00000248101	1.0	ENSG00000239382	ENSG00000248101	TALONT000761310
TALONT000392510	True	ENSG00000284128	9	1	False	TALONT000392510	NIC	Known	2	ENSG00000284128,ENSG00000215481	1.0	ENSG00000284128	ENSG00000215481	TALONT000392510
TALONT000446661	True	ENSG00000175106	9	2	False	TALONT000446661	NIC	Known	3	ENSG00000259024,ENSG00000175106,ENSG00000239704	1.0	ENSG00000175106	ENSG00000259024	TALONT000446661
TALONT000716419	True	ENSG00000267368	9	2	False	TALONT000716419	ISM	Known	3	ENSG00000267645,ENSG00000267368,ENSG00000205236	1.0	ENSG00000267368	ENSG00000267645	TALONT000716419
TALONT000392434	True	ENSG00000284128	8	1	False	TALONT000392434	NIC	Known	2	ENSG00000284128,ENSG00000215481	1.0	ENSG00000284128	ENSG00000215481	TALONT000392434
TALONT000874287	True	ENSG00000136450	8	1	False	TALONT000874287	ISM	Known	2	ENSG00000136450,ENSG00000266086	1.0	ENSG00000136450	ENSG00000266086	TALONT000874287
TALONT000874298	True	ENSG00000136450	8	1	False	TALONT000874298	NIC	Known	2	ENSG00000136450,ENSG00000266086	1.0	ENSG00000136450	ENSG00000266086	TALONT000874298
TALONT000516336	True	ENSG00000267673	8	1	False	TALONT000516336	ISM	Known	3	ENSG00000267673,ENSG00000167807,ENSG00000267303	1.0	ENSG00000267673	ENSG00000167807	TALONT000516336
TALONT000516344	True	ENSG00000267673	8	2	False	TALONT000516344	ISM	Known	3	ENSG00000167807,ENSG00000267673,ENSG00000267303	1.0	ENSG00000267673	ENSG00000167807	TALONT000516344
TALONT000431429	True	ENSG00000277726	8	2	False	TALONT000431429	ISM	Known	2	ENSG00000120948,ENSG00000277726	1.0	ENSG00000277726	ENSG00000120948	TALONT000431429
TALONT002235976	True	ENSG00000267368	8	1	False	TALONT002235976	NIC	Known	3	ENSG00000267368,ENSG00000205236,ENSG00000267645	1.0	ENSG00000267368	ENSG00000267645	TALONT002235976
TALONT000775053	True	ENSG00000198182	8	1	False	TALONT000775053	ISM	Known	2	ENSG00000198182,ENSG00000267552	1.0	ENSG00000198182	ENSG00000267552	TALONT000775053
TALONT000471602	True	ENSG00000213920	8	1	False	TALONT000471602	ISM	Known	3	ENSG00000260669,ENSG00000213920,ENSG00000255526	1.0	ENSG00000213920	ENSG00000260669	TALONT000471602
TALONT000668133	True	ENSG00000197978	8	1	False	TALONT000668133	ISM	Known	2	ENSG00000197978,ENSG00000278202	1.0	ENSG00000197978	ENSG00000259429	TALONT000668133
TALONT000689999	True	ENSG00000121716	8	1	False	TALONT000689999	ISM	Known	2	ENSG00000121716,ENSG00000272752	1.0	ENSG00000121716	ENSG00000272752	TALONT000689999
TALONT001118671	True	ENSG00000285441	8	2	False	TALONT001118671	NNC	Known	2	ENSG00000112096,ENSG00000285441	1.0	ENSG00000285441	ENSG00000112096	TALONT001118671
TALONT000643557	True	ENSG00000100288	8	1	False	TALONT000643557	NIC	Known	2	ENSG00000100288,ENSG00000254413	1.0	ENSG00000100288	ENSG00000254413	TALONT000643557
TALONT001004254	True	ENSG00000198093	8	2	False	TALONT001004254	ISM	Known	2	ENSG00000161551,ENSG00000198093	1.0	ENSG00000198093	ENSG00000161551	TALONT001004254
TALONT001004192	True	ENSG00000198093	8	2	False	TALONT001004192	NIC	Known	2	ENSG00000161551,ENSG00000198093	1.0	ENSG00000198093	ENSG00000161551	TALONT001004192
TALONT000989199	True	ENSG00000215837	8	1	False	TALONT000989199	ISM	Known	2	ENSG00000215837,ENSG00000242086	1.0	ENSG00000215837	ENSG00000242086	TALONT000989199
TALONT000397394	True	ENSG00000256594	7	1	False	TALONT000397394	NIC	Known	3	ENSG00000256594,ENSG00000284634,ENSG00000272917	1.0	ENSG00000256594	ENSG00000272917	TALONT000397394
TALONT000756882	True	ENSG00000126246	7	2	False	TALONT000756882	ISM	Known	2	ENSG00000267120,ENSG00000126246	1.0	ENSG00000126246	ENSG00000267120	TALONT000756882
TALONT000244006	True	ENSG00000285035	7	4	False	TALONT000244006	NIC	Known	4	ENSG00000284906,ENSG00000285077,ENSG00000285035,ENSG00000187951	1.0	ENSG00000285035	ENSG00000187951	TALONT000244006
TALONT001118783	True	ENSG00000285441	7	2	False	TALONT001118783	NIC	Known	2	ENSG00000112096,ENSG00000285441	1.0	ENSG00000285441	ENSG00000112096	TALONT001118783
TALONT001202150	True	ENSG00000285035	7	4	False	TALONT001202150	ISM	Known	4	ENSG00000284906,ENSG00000285077,ENSG00000285035,ENSG00000187951	1.0	ENSG00000285035	ENSG00000187951	TALONT001202150
TALONT000732916	True	ENSG00000135441	6	1	False	TALONT000732916	NIC	Known	2	ENSG00000135441,ENSG00000258311	1.0	ENSG00000135441	ENSG00000258311	TALONT000732916
