Name	n_genes	gene_ids
TALONT000245593	1	ENSG00000139180
TALONT000246125	1	ENSG00000139180
TALONT000248665	1	ENSG00000139180
TALONT000255148	1	ENSG00000159079
TALONT000255151	1	ENSG00000159079
TALONT000255159	1	ENSG00000159079
TALONT000255185	1	ENSG00000159079
TALONT000255243	1	ENSG00000159079
TALONT000255406	1	ENSG00000159079
TALONT000256054	1	ENSG00000157014
TALONT000256101	1	ENSG00000159079
TALONT000257224	1	ENSG00000159110
TALONT000257258	1	ENSG00000159110
TALONT000262990	1	ENSG00000251669
TALONT000263761	1	ENSG00000179630
TALONT000263876	1	ENSG00000179630
TALONT000263897	1	ENSG00000179630
TALONT000264837	1	ENSG00000159147
TALONT000264927	1	ENSG00000159147
TALONT000264958	1	ENSG00000159147
TALONT000266272	1	ENSG00000241837
TALONT000266339	1	ENSG00000241837
TALONT000266362	1	ENSG00000241837
TALONT000266407	1	ENSG00000241837
TALONT000266409	1	ENSG00000165630
TALONT000266420	1	ENSG00000165630
TALONT000266431	1	ENSG00000165630
TALONT000266433	1	ENSG00000165630
TALONT000266544	1	ENSG00000241837
TALONT000266933	1	ENSG00000165630
TALONT000267206	1	ENSG00000241837
TALONT000267835	1	ENSG00000243927
TALONT000268380	1	ENSG00000197417
TALONT000268384	1	ENSG00000197417
TALONT000268735	1	ENSG00000197417
TALONT000269180	1	ENSG00000243927
TALONT000271619	1	ENSG00000083454
TALONT000278812	1	ENSG00000156970
TALONT000278854	1	ENSG00000156970
TALONT000278883	1	ENSG00000156970
TALONT000279549	1	ENSG00000156970
TALONT000279632	1	ENSG00000156970
TALONT000279666	1	ENSG00000156970
TALONT000279696	1	ENSG00000156970
TALONT000279791	1	ENSG00000137843
TALONT000279819	1	ENSG00000137843
TALONT000279848	1	ENSG00000099810
TALONT000279872	1	ENSG00000137843
TALONT000279940	1	ENSG00000137843
TALONT000279951	1	ENSG00000137843
TALONT000279971	1	ENSG00000099810
TALONT000279987	1	ENSG00000137843
TALONT000280028	1	ENSG00000137843
TALONT000280114	1	ENSG00000130234
TALONT000280820	1	ENSG00000099810
TALONT000282786	1	ENSG00000182093
TALONT000282935	1	ENSG00000182093
TALONT000283125	1	ENSG00000182093
TALONT000283302	1	ENSG00000182093
TALONT000283815	1	ENSG00000185437
TALONT000285283	1	ENSG00000101695
TALONT000285338	1	ENSG00000101695
TALONT000285658	1	ENSG00000134758
TALONT000285736	1	ENSG00000134758
TALONT000286092	1	ENSG00000134758
TALONT000286129	1	ENSG00000134758
TALONT000286206	1	ENSG00000134758
TALONT000289980	1	ENSG00000170876
TALONT000290112	1	ENSG00000170876
TALONT000290219	1	ENSG00000170876
TALONT000290562	1	ENSG00000267583
TALONT000291637	1	ENSG00000008128
TALONT000291641	1	ENSG00000008128
TALONT000291742	1	ENSG00000008128
TALONT000292018	1	ENSG00000008128
TALONT000292202	1	ENSG00000170876
TALONT000292271	1	ENSG00000170876
TALONT000292308	1	ENSG00000170876
TALONT000292318	1	ENSG00000170876
TALONT000292333	1	ENSG00000170876
TALONT000292468	1	ENSG00000215790
TALONT000292504	1	ENSG00000215790
TALONT000294670	1	ENSG00000148444
TALONT000294695	1	ENSG00000148444
TALONT000294729	1	ENSG00000148444
TALONT000295029	1	ENSG00000137804
TALONT000295077	1	ENSG00000137804
TALONT000295101	1	ENSG00000137804
TALONT000295121	1	ENSG00000137804
TALONT000295171	1	ENSG00000137804
TALONT000295186	1	ENSG00000137804
TALONT000295213	1	ENSG00000137804
TALONT000295226	1	ENSG00000137804
TALONT000295276	1	ENSG00000137804
TALONT000295314	1	ENSG00000137804
TALONT000295417	1	ENSG00000137804
TALONT000295430	1	ENSG00000168283
TALONT000295533	1	ENSG00000137804
TALONT000295565	1	ENSG00000137804
TALONT000295575	1	ENSG00000137804
TALONT000295593	1	ENSG00000137804
TALONT000295615	1	ENSG00000137804
TALONT000295860	1	ENSG00000168283
TALONT000295862	1	ENSG00000168283
TALONT000295883	1	ENSG00000168283
TALONT000296042	1	ENSG00000168283
TALONT000297579	1	ENSG00000137804
TALONT000297585	1	ENSG00000137804
TALONT000297593	1	ENSG00000137804
TALONT000302825	1	ENSG00000243789
TALONT000303382	1	ENSG00000243789
TALONT000303567	1	ENSG00000243708
TALONT000303666	1	ENSG00000243708
TALONT000303668	1	ENSG00000243708
TALONT000306482	1	ENSG00000102796
TALONT000306572	1	ENSG00000102796
TALONT000306978	1	ENSG00000102796
TALONT000308442	1	ENSG00000272281
TALONT000308564	1	ENSG00000092529
TALONT000308692	1	ENSG00000092529
TALONT000310358	1	ENSG00000250299
TALONT000310397	1	ENSG00000250299
TALONT000310556	1	ENSG00000071655
TALONT000310582	1	ENSG00000071655
TALONT000310630	1	ENSG00000250299
TALONT000310638	1	ENSG00000071655
TALONT000310660	1	ENSG00000071655
TALONT000310710	1	ENSG00000071655
TALONT000310857	1	ENSG00000071655
TALONT000310891	1	ENSG00000071655
TALONT000312007	1	ENSG00000127540
TALONT000312613	1	ENSG00000127540
TALONT000312666	1	ENSG00000213930
TALONT000313569	1	ENSG00000111641
TALONT000313594	1	ENSG00000111641
TALONT000313614	1	ENSG00000111641
TALONT000313648	1	ENSG00000213930
TALONT000313673	1	ENSG00000111641
TALONT000313701	1	ENSG00000111641
TALONT000313777	1	ENSG00000111641
TALONT000313804	1	ENSG00000111641
TALONT000313807	1	ENSG00000111641
TALONT000313830	1	ENSG00000111641
TALONT000313869	1	ENSG00000111641
TALONT000313911	1	ENSG00000111641
TALONT000313926	1	ENSG00000111641
TALONT000314047	1	ENSG00000111641
TALONT000314101	1	ENSG00000111641
TALONT000314142	1	ENSG00000111641
TALONT000314350	1	ENSG00000137070
TALONT000314428	1	ENSG00000111641
TALONT000314525	1	ENSG00000111641
TALONT000314633	1	ENSG00000137070
TALONT000315034	1	ENSG00000137070
TALONT000315391	1	ENSG00000137070
TALONT000315769	1	ENSG00000111642
TALONT000315772	1	ENSG00000111642
TALONT000315773	1	ENSG00000111642
TALONT000315776	1	ENSG00000111642
TALONT000315778	1	ENSG00000111642
TALONT000315781	1	ENSG00000111642
TALONT000315783	1	ENSG00000111642
TALONT000315786	1	ENSG00000111642
TALONT000315788	1	ENSG00000111642
TALONT000315810	1	ENSG00000111642
TALONT000315815	1	ENSG00000111642
TALONT000315816	1	ENSG00000111642
TALONT000315887	1	ENSG00000111642
TALONT000315890	1	ENSG00000111642
TALONT000315913	1	ENSG00000111642
TALONT000315933	1	ENSG00000111642
TALONT000315940	1	ENSG00000111642
TALONT000315944	1	ENSG00000111642
TALONT000315956	1	ENSG00000111642
TALONT000315998	1	ENSG00000111642
TALONT000316037	1	ENSG00000111642
TALONT000316086	1	ENSG00000111642
TALONT000316111	1	ENSG00000111642
TALONT000316196	1	ENSG00000111642
TALONT000316299	1	ENSG00000111642
TALONT000316330	1	ENSG00000111642
TALONT000316336	1	ENSG00000111642
TALONT000317129	1	ENSG00000111642
TALONT000317138	1	ENSG00000111642
TALONT000317151	1	ENSG00000111642
TALONT000317158	1	ENSG00000111642
TALONT000317167	1	ENSG00000111642
TALONT000317181	1	ENSG00000111642
TALONT000317252	1	ENSG00000111642
TALONT000317260	1	ENSG00000111642
TALONT000317276	1	ENSG00000111642
TALONT000317383	1	ENSG00000111642
TALONT000317390	1	ENSG00000111642
TALONT000317413	1	ENSG00000111642
TALONT000317419	1	ENSG00000111642
TALONT000317446	1	ENSG00000111642
TALONT000317491	1	ENSG00000111642
TALONT000317499	1	ENSG00000111642
TALONT000317771	1	ENSG00000111642
TALONT000318112	1	ENSG00000111642
TALONT000318819	1	ENSG00000111642
TALONT000320678	1	ENSG00000167220
TALONT000320697	1	ENSG00000167220
TALONT000320723	1	ENSG00000167220
TALONT000320784	1	ENSG00000167220
TALONT000320828	1	ENSG00000167220
TALONT000320935	1	ENSG00000167220
TALONT000321043	1	ENSG00000167220
TALONT000321515	1	ENSG00000118939
TALONT000321554	1	ENSG00000118939
TALONT000321599	1	ENSG00000167220
TALONT000321995	1	ENSG00000136153
TALONT000321997	1	ENSG00000136153
TALONT000322035	1	ENSG00000136153
TALONT000322044	1	ENSG00000136153
TALONT000322066	1	ENSG00000136153
TALONT000322200	1	ENSG00000134049
TALONT000322232	1	ENSG00000136153
TALONT000322275	1	ENSG00000136153
TALONT000322278	1	ENSG00000136153
TALONT000322349	1	ENSG00000136153
TALONT000322370	1	ENSG00000136153
TALONT000323204	1	ENSG00000102805
TALONT000326494	1	ENSG00000156298
TALONT000326549	1	ENSG00000156298
TALONT000326553	1	ENSG00000156298
TALONT000326564	1	ENSG00000156298
TALONT000326571	1	ENSG00000156298
TALONT000326878	1	ENSG00000177576
TALONT000326914	1	ENSG00000177576
TALONT000327491	1	ENSG00000265681
TALONT000327497	1	ENSG00000265681
TALONT000327510	1	ENSG00000265681
TALONT000327515	1	ENSG00000265681
TALONT000327524	1	ENSG00000265681
TALONT000327592	1	ENSG00000265681
TALONT000327895	1	ENSG00000265681
TALONT000327982	1	ENSG00000265681
TALONT000328192	1	ENSG00000265681
TALONT000330053	1	ENSG00000128886
TALONT000332041	1	ENSG00000104904
TALONT000332079	1	ENSG00000116251
TALONT000332101	1	ENSG00000104904
TALONT000332127	1	ENSG00000116251
TALONT000332166	1	ENSG00000116251
TALONT000332186	1	ENSG00000104904
TALONT000332193	1	ENSG00000104904
TALONT000332197	1	ENSG00000116251
TALONT000332223	1	ENSG00000116251
TALONT000332259	1	ENSG00000104904
TALONT000332295	1	ENSG00000104904
TALONT000332299	1	ENSG00000116251
TALONT000332392	1	ENSG00000104904
TALONT000332493	1	ENSG00000104904
TALONT000332559	1	ENSG00000104904
TALONT000332769	1	ENSG00000116251
TALONT000333091	1	ENSG00000104904
TALONT000333108	1	ENSG00000104904
TALONT000333219	1	ENSG00000116251
TALONT000335633	1	ENSG00000104904
TALONT000336272	1	ENSG00000116251
TALONT000336423	1	ENSG00000167315
TALONT000336457	1	ENSG00000167315
TALONT000336521	1	ENSG00000167315
TALONT000336536	1	ENSG00000167315
TALONT000336574	1	ENSG00000167315
TALONT000336654	1	ENSG00000167315
TALONT000337740	1	ENSG00000219200
TALONT000338163	1	ENSG00000167315
TALONT000338284	1	ENSG00000167306
TALONT000338296	1	ENSG00000167306
TALONT000338322	1	ENSG00000167306
TALONT000338595	1	ENSG00000167306
TALONT000338962	1	ENSG00000258315
TALONT000338965	1	ENSG00000258315
TALONT000338990	1	ENSG00000258315
TALONT000339210	1	ENSG00000267532
TALONT000339214	1	ENSG00000258315
TALONT000340039	1	ENSG00000219545
TALONT000340061	1	ENSG00000219545
TALONT000340082	1	ENSG00000219545
TALONT000340276	1	ENSG00000219545
TALONT000340317	1	ENSG00000219545
TALONT000341004	1	ENSG00000284294
TALONT000341026	1	ENSG00000284294
TALONT000341045	1	ENSG00000237517
TALONT000341046	1	ENSG00000237517
TALONT000341061	1	ENSG00000237517
TALONT000341096	1	ENSG00000237517
TALONT000341139	1	ENSG00000237517
TALONT000341242	1	ENSG00000219545
TALONT000341490	1	ENSG00000106415
TALONT000341502	1	ENSG00000106415
TALONT000342047	1	ENSG00000075407
TALONT000342065	1	ENSG00000075407
TALONT000342160	1	ENSG00000075407
TALONT000343189	1	ENSG00000099251
TALONT000343746	1	ENSG00000005206
TALONT000343792	1	ENSG00000005206
TALONT000343823	1	ENSG00000005206
TALONT000345915	1	ENSG00000206559
TALONT000346125	1	ENSG00000137133
TALONT000346133	1	ENSG00000137133
TALONT000346134	1	ENSG00000144642
TALONT000346157	1	ENSG00000137133
TALONT000347350	1	ENSG00000184702
TALONT000347361	1	ENSG00000184702
TALONT000347404	1	ENSG00000184702
TALONT000347409	1	ENSG00000184702
TALONT000347450	1	ENSG00000184702
TALONT000347527	1	ENSG00000184702
TALONT000347537	1	ENSG00000184702
TALONT000347620	1	ENSG00000184702
TALONT000347648	1	ENSG00000184702
TALONT000347721	1	ENSG00000184702
TALONT000347825	1	ENSG00000141646
TALONT000347853	1	ENSG00000141646
TALONT000347871	1	ENSG00000184702
TALONT000347882	1	ENSG00000184702
TALONT000347947	1	ENSG00000184702
TALONT000347957	1	ENSG00000184702
TALONT000347963	1	ENSG00000184702
TALONT000347968	1	ENSG00000184702
TALONT000347982	1	ENSG00000184702
TALONT000347989	1	ENSG00000184702
TALONT000348010	1	ENSG00000184702
TALONT000348013	1	ENSG00000184702
TALONT000348517	1	ENSG00000141646
TALONT000348529	1	ENSG00000141646
TALONT000349726	1	ENSG00000141873
TALONT000349949	1	ENSG00000141873
TALONT000354697	1	ENSG00000134899
TALONT000354764	1	ENSG00000134899
TALONT000354768	1	ENSG00000134899
TALONT000355048	1	ENSG00000134899
TALONT000355072	1	ENSG00000134899
TALONT000355152	1	ENSG00000134899
TALONT000355764	1	ENSG00000099910
TALONT000355766	1	ENSG00000099910
TALONT000355772	1	ENSG00000099910
TALONT000355794	1	ENSG00000099910
TALONT000357124	1	ENSG00000147912
TALONT000357276	1	ENSG00000170296
TALONT000357304	1	ENSG00000147912
TALONT000357310	1	ENSG00000170296
TALONT000357347	1	ENSG00000147912
TALONT000357410	1	ENSG00000147912
TALONT000357790	1	ENSG00000106546
TALONT000357792	1	ENSG00000106546
TALONT000357817	1	ENSG00000106546
TALONT000358214	1	ENSG00000175768
TALONT000359102	1	ENSG00000175826
TALONT000359108	1	ENSG00000175826
TALONT000359131	1	ENSG00000175826
TALONT000359267	1	ENSG00000175826
TALONT000359470	1	ENSG00000183773
TALONT000359507	1	ENSG00000183773
TALONT000359514	1	ENSG00000183773
TALONT000359536	1	ENSG00000183773
TALONT000359537	1	ENSG00000175826
TALONT000359608	1	ENSG00000183773
TALONT000359629	1	ENSG00000099949
TALONT000361285	1	ENSG00000181885
TALONT000361327	1	ENSG00000181885
TALONT000361353	1	ENSG00000181885
TALONT000361370	1	ENSG00000181885
TALONT000361982	1	ENSG00000122696
TALONT000362011	1	ENSG00000122696
TALONT000362291	1	ENSG00000181885
TALONT000364464	1	ENSG00000100023
TALONT000364471	1	ENSG00000100023
TALONT000364513	1	ENSG00000100023
TALONT000365725	1	ENSG00000283886
TALONT000365734	1	ENSG00000283886
TALONT000367905	1	ENSG00000137767
TALONT000367935	1	ENSG00000137767
TALONT000367951	1	ENSG00000137767
TALONT000367956	1	ENSG00000137767
TALONT000367970	1	ENSG00000137767
TALONT000368150	1	ENSG00000137767
TALONT000369053	1	ENSG00000137767
TALONT000369065	1	ENSG00000137767
TALONT000369107	1	ENSG00000137767
TALONT000369131	1	ENSG00000137767
TALONT000369170	1	ENSG00000137767
TALONT000369178	1	ENSG00000137767
TALONT000369757	1	ENSG00000211662
TALONT000369870	1	ENSG00000145216
TALONT000369882	1	ENSG00000145216
TALONT000369895	1	ENSG00000145216
TALONT000369914	1	ENSG00000145216
TALONT000369947	1	ENSG00000145216
TALONT000369963	1	ENSG00000145216
TALONT000369976	1	ENSG00000145216
TALONT000370016	1	ENSG00000145216
TALONT000370035	1	ENSG00000145216
TALONT000370041	1	ENSG00000145216
TALONT000370054	1	ENSG00000145216
TALONT000370069	1	ENSG00000145216
TALONT000370164	1	ENSG00000145216
TALONT000370677	1	ENSG00000264230
TALONT000370905	1	ENSG00000264230
TALONT000370914	1	ENSG00000264230
TALONT000374762	1	ENSG00000134853
TALONT000374798	1	ENSG00000134853
TALONT000374903	1	ENSG00000134853
TALONT000374931	1	ENSG00000134853
TALONT000374935	1	ENSG00000134853
TALONT000374953	1	ENSG00000134853
TALONT000374964	1	ENSG00000134853
TALONT000377081	1	ENSG00000133460
TALONT000377356	1	ENSG00000132522
TALONT000377360	1	ENSG00000132522
TALONT000377375	1	ENSG00000132522
TALONT000377392	1	ENSG00000132522
TALONT000377394	1	ENSG00000132522
TALONT000377473	1	ENSG00000251079
TALONT000377610	1	ENSG00000132522
TALONT000377625	1	ENSG00000132522
TALONT000377862	1	ENSG00000240972
TALONT000378037	1	ENSG00000132522
TALONT000379872	1	ENSG00000215041
TALONT000380015	1	ENSG00000215041
TALONT000380633	1	ENSG00000215041
TALONT000381784	1	ENSG00000187838
TALONT000381834	1	ENSG00000187838
TALONT000381888	1	ENSG00000187838
TALONT000381923	1	ENSG00000187838
TALONT000381964	1	ENSG00000187838
TALONT000382025	1	ENSG00000187838
TALONT000382066	1	ENSG00000187838
TALONT000383203	1	ENSG00000205544
TALONT000383802	1	ENSG00000119139
TALONT000383815	1	ENSG00000119139
TALONT000383959	1	ENSG00000119139
TALONT000384127	1	ENSG00000119139
TALONT000384188	1	ENSG00000119139
TALONT000384358	1	ENSG00000161958
TALONT000384438	1	ENSG00000162066
TALONT000384528	1	ENSG00000119139
TALONT000384561	1	ENSG00000162066
TALONT000384598	1	ENSG00000162066
TALONT000384794	1	ENSG00000162066
TALONT000384799	1	ENSG00000119139
TALONT000384800	1	ENSG00000119139
TALONT000384856	1	ENSG00000119139
TALONT000384873	1	ENSG00000119139
TALONT000384886	1	ENSG00000162066
TALONT000385072	1	ENSG00000119139
TALONT000385143	1	ENSG00000099977
TALONT000385144	1	ENSG00000119139
TALONT000385185	1	ENSG00000119139
TALONT000385279	1	ENSG00000119139
TALONT000385286	1	ENSG00000119139
TALONT000385351	1	ENSG00000119139
TALONT000385872	1	ENSG00000239697
TALONT000386194	1	ENSG00000239697
TALONT000386246	1	ENSG00000161955
TALONT000386328	1	ENSG00000161955
TALONT000386657	1	ENSG00000161955
TALONT000386716	1	ENSG00000161955
TALONT000386752	1	ENSG00000161955
TALONT000386807	1	ENSG00000161955
TALONT000387140	1	ENSG00000161956
TALONT000387180	1	ENSG00000161956
TALONT000387448	1	ENSG00000161956
TALONT000387611	1	ENSG00000161956
TALONT000387802	1	ENSG00000100014
TALONT000387833	1	ENSG00000100014
TALONT000387845	1	ENSG00000100014
TALONT000387865	1	ENSG00000161960
TALONT000387872	1	ENSG00000100014
TALONT000387892	1	ENSG00000161960
TALONT000387961	1	ENSG00000161960
TALONT000388113	1	ENSG00000161960
TALONT000388160	1	ENSG00000161960
TALONT000388213	1	ENSG00000161960
TALONT000388239	1	ENSG00000161960
TALONT000388251	1	ENSG00000161960
TALONT000388295	1	ENSG00000161960
TALONT000388399	1	ENSG00000161960
TALONT000388406	1	ENSG00000100014
TALONT000388452	1	ENSG00000161960
TALONT000388592	1	ENSG00000128271
TALONT000388600	1	ENSG00000128271
TALONT000388663	1	ENSG00000128271
TALONT000388674	1	ENSG00000128271
TALONT000388978	1	ENSG00000161960
TALONT000388992	1	ENSG00000161960
TALONT000389057	1	ENSG00000161960
TALONT000389259	1	ENSG00000161960
TALONT000389759	1	ENSG00000161960
TALONT000391399	1	ENSG00000161960
TALONT000392415	1	ENSG00000284128
TALONT000392434	1	ENSG00000284128
TALONT000392510	1	ENSG00000284128
TALONT000395510	1	ENSG00000161960
TALONT000397359	1	ENSG00000256594
TALONT000397377	1	ENSG00000256594
TALONT000397394	1	ENSG00000256594
TALONT000397707	1	ENSG00000256594
TALONT000397801	1	ENSG00000256594
TALONT000400859	1	ENSG00000109193
TALONT000400928	1	ENSG00000078399
TALONT000401112	1	ENSG00000138311
TALONT000401135	1	ENSG00000161960
TALONT000401421	1	ENSG00000161960
TALONT000401439	1	ENSG00000260916
TALONT000401461	1	ENSG00000260916
TALONT000401464	1	ENSG00000161960
TALONT000401534	1	ENSG00000161960
TALONT000401560	1	ENSG00000260916
TALONT000401598	1	ENSG00000260916
TALONT000401646	1	ENSG00000260916
TALONT000401674	1	ENSG00000161960
TALONT000401810	1	ENSG00000161960
TALONT000401834	1	ENSG00000161960
TALONT000401869	1	ENSG00000161960
TALONT000401880	1	ENSG00000161960
TALONT000402205	1	ENSG00000129226
TALONT000402229	1	ENSG00000129226
TALONT000402689	1	ENSG00000256061
TALONT000404373	1	ENSG00000214456
TALONT000404383	1	ENSG00000214456
TALONT000404411	1	ENSG00000214456
TALONT000404468	1	ENSG00000214456
TALONT000404669	1	ENSG00000214456
TALONT000404802	1	ENSG00000137871
TALONT000404974	1	ENSG00000285331
TALONT000408130	1	ENSG00000263155
TALONT000408133	1	ENSG00000263155
TALONT000408157	1	ENSG00000263155
TALONT000408184	1	ENSG00000263155
TALONT000408321	1	ENSG00000263155
TALONT000408410	1	ENSG00000263155
TALONT000408442	1	ENSG00000243943
TALONT000408465	1	ENSG00000263155
TALONT000408546	1	ENSG00000122390
TALONT000408626	1	ENSG00000122390
TALONT000408698	1	ENSG00000122390
TALONT000408735	1	ENSG00000243943
TALONT000408931	1	ENSG00000122390
TALONT000408984	1	ENSG00000243943
TALONT000408985	1	ENSG00000263155
TALONT000409063	1	ENSG00000263155
TALONT000409106	1	ENSG00000106069
TALONT000409195	1	ENSG00000106069
TALONT000409475	1	ENSG00000243943
TALONT000409566	1	ENSG00000263155
TALONT000409637	1	ENSG00000263155
TALONT000409663	1	ENSG00000103351
TALONT000409686	1	ENSG00000198522
TALONT000409734	1	ENSG00000198522
TALONT000410123	1	ENSG00000263155
TALONT000410780	1	ENSG00000263155
TALONT000410797	1	ENSG00000263155
TALONT000410848	1	ENSG00000263155
TALONT000410905	1	ENSG00000263155
TALONT000410916	1	ENSG00000263155
TALONT000410927	1	ENSG00000263155
TALONT000410934	1	ENSG00000263155
TALONT000410941	1	ENSG00000263155
TALONT000410954	1	ENSG00000263155
TALONT000410961	1	ENSG00000263155
TALONT000410987	1	ENSG00000263155
TALONT000411032	1	ENSG00000263155
TALONT000411130	1	ENSG00000255529
TALONT000411248	1	ENSG00000212127
TALONT000411370	1	ENSG00000214274
TALONT000411383	1	ENSG00000258818
TALONT000411418	1	ENSG00000255529
TALONT000411570	1	ENSG00000212127
TALONT000414282	1	ENSG00000179094
TALONT000414995	1	ENSG00000006625
TALONT000415075	1	ENSG00000220205
TALONT000415627	1	ENSG00000164252
TALONT000415631	1	ENSG00000164252
TALONT000415633	1	ENSG00000164252
TALONT000416336	1	ENSG00000164252
TALONT000417379	1	ENSG00000113231
TALONT000417394	1	ENSG00000113231
TALONT000419161	1	ENSG00000217930
TALONT000419401	1	ENSG00000217930
TALONT000420023	1	ENSG00000262246
TALONT000420027	1	ENSG00000262246
TALONT000420044	1	ENSG00000262246
TALONT000420050	1	ENSG00000262246
TALONT000420072	1	ENSG00000262246
TALONT000420081	1	ENSG00000262246
TALONT000420095	1	ENSG00000262246
TALONT000420102	1	ENSG00000262246
TALONT000420178	1	ENSG00000106125
TALONT000420236	1	ENSG00000262246
TALONT000420266	1	ENSG00000262246
TALONT000420389	1	ENSG00000262246
TALONT000420458	1	ENSG00000106125
TALONT000420547	1	ENSG00000262246
TALONT000420832	1	ENSG00000262246
TALONT000421196	1	ENSG00000240583
TALONT000421203	1	ENSG00000240583
TALONT000421288	1	ENSG00000239282
TALONT000421342	1	ENSG00000239282
TALONT000421588	1	ENSG00000239282
TALONT000421838	1	ENSG00000099992
TALONT000421845	1	ENSG00000184619
TALONT000421853	1	ENSG00000099992
TALONT000422143	1	ENSG00000161970
TALONT000422165	1	ENSG00000161970
TALONT000422333	1	ENSG00000161970
TALONT000422381	1	ENSG00000161970
TALONT000423030	1	ENSG00000161970
TALONT000423246	1	ENSG00000100003
TALONT000423379	1	ENSG00000100003
TALONT000423660	1	ENSG00000161970
TALONT000423914	1	ENSG00000242114
TALONT000423967	1	ENSG00000242114
TALONT000423996	1	ENSG00000242114
TALONT000424001	1	ENSG00000242114
TALONT000427882	1	ENSG00000175279
TALONT000428921	1	ENSG00000147168
TALONT000428927	1	ENSG00000147168
TALONT000428933	1	ENSG00000147168
TALONT000429174	1	ENSG00000010282
TALONT000429225	1	ENSG00000010282
TALONT000429243	1	ENSG00000010282
TALONT000429336	1	ENSG00000010282
TALONT000429339	1	ENSG00000010282
TALONT000429344	1	ENSG00000010282
TALONT000429359	1	ENSG00000010282
TALONT000429417	1	ENSG00000010282
TALONT000429454	1	ENSG00000010282
TALONT000429460	1	ENSG00000010282
TALONT000429472	1	ENSG00000010282
