Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	receptor ligand activity (GO:0048018)	35/307	4.538866e-04	6.838558e-03	0	0	1.951804e+00	1.502433e+01	DEFB103A;IFNA5;IFNA4;IFNA7;IFNA6;IFNA1;CSH2;CSH1;CGB3;IFNA8;FGF3;BMP15;IL36A;IFNA21;CCL25;DEFB104A;IL31;IFNA14;IFNA16;FSHB;IFNA17;IL36G;CSHL1;SLURP1;IFNW1;IL1F10;IL4;GH1;IFNE;IFNK;IL17F;DEFB130B;LACRT;GPHB5;IFNA10
GO_Molecular_Function_2021	cytokine activity (GO:0005125)	23/173	5.145723e-04	7.268334e-03	0	0	2.318325e+00	1.755476e+01	IFNA5;CCL25;IFNA4;IFNA7;IFNA14;IFNA6;IL31;IFNA1;IFNA16;IFNA17;IL36G;IFNA8;IFNW1;SLURP1;IL1F10;BMP15;IL4;IL36A;IFNE;IFNK;IL17F;IFNA10;IFNA21
GO_Molecular_Function_2021	growth hormone receptor binding (GO:0005131)	4/9	1.497192e-03	1.990384e-02	0	0	1.200448e+01	7.807913e+01	GH1;CSH2;CSH1;CSHL1
GO_Molecular_Function_2021	G protein-coupled photoreceptor activity (GO:0008020)	5/15	1.692806e-03	2.125412e-02	0	0	7.506811e+00	4.790372e+01	OPN1MW;OPN1LW;OPN1MW2;OPN1MW3;GPR52
GO_Molecular_Function_2021	G protein-coupled receptor activity (GO:0004930)	30/283	3.412344e-03	4.058894e-02	0	0	1.793103e+00	1.018546e+01	TAS2R60;GPR45;GPR119;MRGPRG;MRGPRD;RXFP3;GPR152;P2RY8;OPN1LW;NPBWR1;NPBWR2;OR13F1;TAS1R2;GHSR;TAAR8;TAAR9;TAAR6;GPR32;MRGPRX1;GPR52;TAAR5;GPR31;TAAR1;MC3R;OR56A5;OPN1MW;OPN1MW2;OPN1MW3;GPR101;OR56A4
GO_Molecular_Function_2021	hormone receptor binding (GO:0051427)	4/21	3.902973e-02	4.410360e-01	0	0	3.528470e+00	1.144435e+01	GH1;CSH2;CSH1;CSHL1
GO_Molecular_Function_2021	immunoglobulin receptor binding (GO:0034987)	2/6	4.968444e-02	5.103947e-01	0	0	7.491207e+00	2.248908e+01	IGLL1;TARM1
GO_Molecular_Function_2021	G protein-coupled opioid receptor activity (GO:0004985)	2/6	4.968444e-02	5.103947e-01	0	0	7.491207e+00	2.248908e+01	NPBWR1;NPBWR2
GO_Molecular_Function_2021	CCR6 chemokine receptor binding (GO:0031731)	2/7	6.672088e-02	5.799584e-01	0	0	5.992646e+00	1.622352e+01	DEFB103A;DEFB130B
GO_Molecular_Function_2021	oxidoreductase activity, acting on metal ions, oxygen as acceptor (GO:0016724)	2/7	6.672088e-02	5.799584e-01	0	0	5.992646e+00	1.622352e+01	FTMT;FTHL17
GO_Molecular_Function_2021	ferric iron binding (GO:0008199)	2/7	6.672088e-02	5.799584e-01	0	0	5.992646e+00	1.622352e+01	FTMT;FTHL17
GO_Molecular_Function_2021	ferroxidase activity (GO:0004322)	2/7	6.672088e-02	5.799584e-01	0	0	5.992646e+00	1.622352e+01	FTMT;FTHL17
GO_Molecular_Function_2021	hormone activity (GO:0005179)	8/78	1.145064e-01	9.584610e-01	0	0	1.714469e+00	3.715468e+00	CCL25;GH1;CSH2;FSHB;CSH1;CGB3;CSHL1;GPHB5
GO_Molecular_Function_2021	neuropeptide binding (GO:0042923)	3/21	1.410817e-01	9.999961e-01	0	0	2.497200e+00	4.890556e+00	MC3R;NPBWR1;NPBWR2
GO_Molecular_Function_2021	endopeptidase activity (GO:0004175)	24/315	1.865556e-01	9.999961e-01	0	0	1.238523e+00	2.079511e+00	TPSD1;USP17L15;PSMB11;USP17L18;USP17L17;USP17L19;USP17L21;USP17L10;USP17L20;USP17L12;USP17L2;USP17L22;USP17L11;USP17L3;USP29;USP17L24;USP17L1;USP17L13;USP17L7;USP17L4;USP17L5;MMP27;USP17L8;ADAM7
GO_Molecular_Function_2021	gap junction channel activity (GO:0005243)	3/24	1.877555e-01	9.999961e-01	0	0	2.140114e+00	3.579586e+00	GJA10;GJA8;GJE1
GO_Molecular_Function_2021	wide pore channel activity (GO:0022829)	3/25	2.041099e-01	9.999961e-01	0	0	2.042727e+00	3.246091e+00	GJA10;GJA8;GJE1
GO_Molecular_Function_2021	CCR chemokine receptor binding (GO:0048020)	4/42	2.679850e-01	9.999961e-01	0	0	1.576756e+00	2.076311e+00	DEFB103A;CCL25;DEFB130B;DEFB106A
GO_Molecular_Function_2021	ribose phosphate diphosphokinase activity (GO:0004749)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	PRPS1L1
GO_Molecular_Function_2021	serotonin-gated cation-selective channel activity (GO:0022850)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	HTR3D
GO_Molecular_Function_2021	alkane 1-monooxygenase activity (GO:0018685)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	CYP4F8
GO_Molecular_Function_2021	L-ornithine transmembrane transporter activity (GO:0000064)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	SLC25A2
GO_Molecular_Function_2021	benzodiazepine receptor binding (GO:0030156)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	RIMBP3C
GO_Molecular_Function_2021	cadmium ion binding (GO:0046870)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	PRM2
GO_Molecular_Function_2021	endoribonuclease activity, producing 3'-phosphomonoesters (GO:0016892)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	RNASE8
GO_Molecular_Function_2021	potassium channel activator activity (GO:0099104)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	LRRC52
GO_Molecular_Function_2021	fructose transmembrane transporter activity (GO:0005353)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	SLC2A7
GO_Molecular_Function_2021	pyruvate transmembrane transporter activity (GO:0050833)	1/5	2.764065e-01	9.999961e-01	0	0	3.742612e+00	4.812560e+00	MPC1L
GO_Molecular_Function_2021	growth factor activity (GO:0008083)	7/87	3.031126e-01	9.999961e-01	0	0	1.310885e+00	1.564739e+00	IL4;GH1;CSH2;CSH1;CSHL1;LACRT;FGF3
GO_Molecular_Function_2021	icosatetraenoic acid binding (GO:0050543)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	GPR31
GO_Molecular_Function_2021	leukemia inhibitory factor receptor activity (GO:0004923)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	CRLF2
GO_Molecular_Function_2021	arachidonic acid binding (GO:0050544)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	GPR31
GO_Molecular_Function_2021	aspartic endopeptidase activity, intramembrane cleaving (GO:0042500)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	SPPL2C
GO_Molecular_Function_2021	melanocortin receptor activity (GO:0004977)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	MC3R
GO_Molecular_Function_2021	olfactory receptor binding (GO:0031849)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	RTP5
GO_Molecular_Function_2021	oncostatin-M receptor activity (GO:0004924)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	CRLF2
GO_Molecular_Function_2021	palmitoyl-CoA hydrolase activity (GO:0016290)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	THEM5
GO_Molecular_Function_2021	diphosphotransferase activity (GO:0016778)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	PRPS1L1
GO_Molecular_Function_2021	proton channel activity (GO:0015252)	1/6	3.217509e-01	9.999961e-01	0	0	2.993930e+00	3.395050e+00	OTOP1
GO_Molecular_Function_2021	chemoattractant activity (GO:0042056)	3/32	3.245575e-01	9.999961e-01	0	0	1.549076e+00	1.743164e+00	DEFB103A;DEFB104A;DEFB130B
GO_Molecular_Function_2021	icosanoid binding (GO:0050542)	1/7	3.642559e-01	9.999961e-01	0	0	2.494808e+00	2.519504e+00	GPR31
GO_Molecular_Function_2021	intracellular cGMP-activated cation channel activity (GO:0005223)	1/7	3.642559e-01	9.999961e-01	0	0	2.494808e+00	2.519504e+00	CNGA2
GO_Molecular_Function_2021	ADP transmembrane transporter activity (GO:0015217)	1/7	3.642559e-01	9.999961e-01	0	0	2.494808e+00	2.519504e+00	SLC25A6
GO_Molecular_Function_2021	N-acylsphingosine amidohydrolase activity (GO:0017040)	1/7	3.642559e-01	9.999961e-01	0	0	2.494808e+00	2.519504e+00	ACER1
GO_Molecular_Function_2021	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	1/7	3.642559e-01	9.999961e-01	0	0	2.494808e+00	2.519504e+00	PDHA2
GO_Molecular_Function_2021	retinol binding (GO:0019841)	1/7	3.642559e-01	9.999961e-01	0	0	2.494808e+00	2.519504e+00	RBP3
GO_Molecular_Function_2021	ciliary neurotrophic factor receptor activity (GO:0004897)	1/8	4.040991e-01	9.999961e-01	0	0	2.138293e+00	1.937497e+00	CRLF2
GO_Molecular_Function_2021	glycine transmembrane transporter activity (GO:0015187)	1/8	4.040991e-01	9.999961e-01	0	0	2.138293e+00	1.937497e+00	SLC6A5
GO_Molecular_Function_2021	intracellular cAMP-activated cation channel activity (GO:0005222)	1/9	4.414472e-01	9.999961e-01	0	0	1.870907e+00	1.529835e+00	CNGA2
GO_Molecular_Function_2021	intramolecular transferase activity, phosphotransferases (GO:0016868)	1/9	4.414472e-01	9.999961e-01	0	0	1.870907e+00	1.529835e+00	PGAM4
GO_Molecular_Function_2021	ciliary neurotrophic factor receptor binding (GO:0005127)	1/9	4.414472e-01	9.999961e-01	0	0	1.870907e+00	1.529835e+00	CRLF2
GO_Molecular_Function_2021	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen (GO:0016713)	1/9	4.414472e-01	9.999961e-01	0	0	1.870907e+00	1.529835e+00	CYP4F8
GO_Molecular_Function_2021	ferrous iron binding (GO:0008198)	2/24	4.489028e-01	9.999961e-01	0	0	1.360730e+00	1.089875e+00	FTMT;FTHL17
GO_Molecular_Function_2021	interleukin-1 receptor binding (GO:0005149)	1/10	4.764562e-01	9.999961e-01	0	0	1.662939e+00	1.232869e+00	IL36A
GO_Molecular_Function_2021	activin receptor binding (GO:0070697)	1/10	4.764562e-01	9.999961e-01	0	0	1.662939e+00	1.232869e+00	BMP15
GO_Molecular_Function_2021	leucine zipper domain binding (GO:0043522)	1/10	4.764562e-01	9.999961e-01	0	0	1.662939e+00	1.232869e+00	CRX
GO_Molecular_Function_2021	SUMO ligase activity (GO:0061665)	1/10	4.764562e-01	9.999961e-01	0	0	1.662939e+00	1.232869e+00	ZBED1
GO_Molecular_Function_2021	ATP transmembrane transporter activity (GO:0005347)	1/10	4.764562e-01	9.999961e-01	0	0	1.662939e+00	1.232869e+00	SLC25A6
GO_Molecular_Function_2021	nucleoside-triphosphate diphosphatase activity (GO:0047429)	1/10	4.764562e-01	9.999961e-01	0	0	1.662939e+00	1.232869e+00	ASMTL
GO_Molecular_Function_2021	O-methyltransferase activity (GO:0008171)	1/10	4.764562e-01	9.999961e-01	0	0	1.662939e+00	1.232869e+00	ASMT
GO_Molecular_Function_2021	hyaluronic acid binding (GO:0005540)	1/11	5.092726e-01	9.999961e-01	0	0	1.496565e+00	1.009840e+00	USP17L24
GO_Molecular_Function_2021	intracellular cyclic nucleotide activated cation channel activity (GO:0005221)	1/11	5.092726e-01	9.999961e-01	0	0	1.496565e+00	1.009840e+00	CNGA2
GO_Molecular_Function_2021	transaminase activity (GO:0008483)	1/11	5.092726e-01	9.999961e-01	0	0	1.496565e+00	1.009840e+00	GOT1L1
GO_Molecular_Function_2021	cGMP binding (GO:0030553)	1/11	5.092726e-01	9.999961e-01	0	0	1.496565e+00	1.009840e+00	CNGA2
GO_Molecular_Function_2021	complement receptor activity (GO:0004875)	1/11	5.092726e-01	9.999961e-01	0	0	1.496565e+00	1.009840e+00	GPR32
GO_Molecular_Function_2021	outward rectifier potassium channel activity (GO:0015271)	1/11	5.092726e-01	9.999961e-01	0	0	1.496565e+00	1.009840e+00	KCNK18
GO_Molecular_Function_2021	racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	1/11	5.092726e-01	9.999961e-01	0	0	1.496565e+00	1.009840e+00	RPEL1
GO_Molecular_Function_2021	serine-type endopeptidase inhibitor activity (GO:0004867)	4/60	5.233864e-01	9.999961e-01	0	0	1.068912e+00	6.920516e-01	WFDC12;WFDC10A;SERPINA9;WFDC13
GO_Molecular_Function_2021	nuclease activity (GO:0004518)	4/60	5.233864e-01	9.999961e-01	0	0	1.068912e+00	6.920516e-01	RNASE11;RNASE8;RNASE13;RNASE12
GO_Molecular_Function_2021	polynucleotide adenylyltransferase activity (GO:0004652)	1/12	5.400335e-01	9.999961e-01	0	0	1.360441e+00	8.382008e-01	PAPOLB
GO_Molecular_Function_2021	G protein-coupled peptide receptor activity (GO:0008528)	5/82	5.899398e-01	9.999961e-01	0	0	9.714244e-01	5.126545e-01	MC3R;GPR32;NPBWR1;NPBWR2;RXFP3
GO_Molecular_Function_2021	5'-nucleotidase activity (GO:0008253)	1/14	5.958955e-01	9.999961e-01	0	0	1.151020e+00	5.958714e-01	NT5C1B-RDH14
GO_Molecular_Function_2021	LRR domain binding (GO:0030275)	1/14	5.958955e-01	9.999961e-01	0	0	1.151020e+00	5.958714e-01	CRX
GO_Molecular_Function_2021	peptide hormone receptor binding (GO:0051428)	1/14	5.958955e-01	9.999961e-01	0	0	1.151020e+00	5.958714e-01	GPHB5
GO_Molecular_Function_2021	ribonuclease activity (GO:0004540)	4/66	5.997170e-01	9.999961e-01	0	0	9.651592e-01	4.934834e-01	RNASE11;RNASE8;RNASE13;RNASE12
GO_Molecular_Function_2021	aspartic-type endopeptidase activity (GO:0004190)	1/15	6.212303e-01	9.999961e-01	0	0	1.068747e+00	5.087807e-01	SPPL2C
GO_Molecular_Function_2021	peptidoglycan binding (GO:0042834)	1/15	6.212303e-01	9.999961e-01	0	0	1.068747e+00	5.087807e-01	REG3A
GO_Molecular_Function_2021	hexose transmembrane transporter activity (GO:0015149)	1/15	6.212303e-01	9.999961e-01	0	0	1.068747e+00	5.087807e-01	SLC2A7
GO_Molecular_Function_2021	retinoid binding (GO:0005501)	2/34	6.375451e-01	9.999961e-01	0	0	9.350020e-01	4.208728e-01	RBP3;UGT1A3
GO_Molecular_Function_2021	1-phosphatidylinositol-3-kinase regulator activity (GO:0046935)	1/16	6.449780e-01	9.999961e-01	0	0	9.974441e-01	4.374182e-01	P3R3URF
GO_Molecular_Function_2021	calcium-dependent phospholipase A2 activity (GO:0047498)	1/16	6.449780e-01	9.999961e-01	0	0	9.974441e-01	4.374182e-01	PLA2G2E
GO_Molecular_Function_2021	nucleotidase activity (GO:0008252)	1/16	6.449780e-01	9.999961e-01	0	0	9.974441e-01	4.374182e-01	NT5C1B-RDH14
GO_Molecular_Function_2021	DNA binding, bending (GO:0008301)	1/16	6.449780e-01	9.999961e-01	0	0	9.974441e-01	4.374182e-01	HMGB4
GO_Molecular_Function_2021	potassium ion leak channel activity (GO:0022841)	1/16	6.449780e-01	9.999961e-01	0	0	9.974441e-01	4.374182e-01	KCNK18
GO_Molecular_Function_2021	cytokine receptor activity (GO:0004896)	5/88	6.526652e-01	9.999961e-01	0	0	9.009113e-01	3.844108e-01	IL3RA;CSF2RA;IL9R;IL22RA2;CRLF2
GO_Molecular_Function_2021	acyl-CoA hydrolase activity (GO:0047617)	1/18	6.881031e-01	9.999961e-01	0	0	8.800038e-01	3.289601e-01	THEM5
GO_Molecular_Function_2021	leak channel activity (GO:0022840)	1/19	7.076609e-01	9.999961e-01	0	0	8.310703e-01	2.873760e-01	KCNK18
GO_Molecular_Function_2021	SUMO transferase activity (GO:0019789)	1/19	7.076609e-01	9.999961e-01	0	0	8.310703e-01	2.873760e-01	ZBED1
GO_Molecular_Function_2021	anion:anion antiporter activity (GO:0015301)	1/19	7.076609e-01	9.999961e-01	0	0	8.310703e-01	2.873760e-01	SLC25A6
GO_Molecular_Function_2021	phosphatidylinositol 3-kinase regulator activity (GO:0035014)	1/19	7.076609e-01	9.999961e-01	0	0	8.310703e-01	2.873760e-01	P3R3URF
GO_Molecular_Function_2021	ubiquitin-like protein-specific protease activity (GO:0019783)	1/20	7.259933e-01	9.999961e-01	0	0	7.872877e-01	2.521009e-01	USP50
GO_Molecular_Function_2021	glucose transmembrane transporter activity (GO:0005355)	1/21	7.431769e-01	9.999961e-01	0	0	7.478834e-01	2.219876e-01	SLC2A7
GO_Molecular_Function_2021	adenylyltransferase activity (GO:0070566)	1/22	7.592837e-01	9.999961e-01	0	0	7.122319e-01	1.961343e-01	PAPOLB
GO_Molecular_Function_2021	protein kinase A regulatory subunit binding (GO:0034237)	1/22	7.592837e-01	9.999961e-01	0	0	7.122319e-01	1.961343e-01	PRKACG
GO_Molecular_Function_2021	retinoic acid binding (GO:0001972)	1/22	7.592837e-01	9.999961e-01	0	0	7.122319e-01	1.961343e-01	UGT1A3
GO_Molecular_Function_2021	snRNA binding (GO:0017069)	2/43	7.604756e-01	9.999961e-01	0	0	7.294067e-01	1.997198e-01	RBMXL3;RBMXL2
GO_Molecular_Function_2021	cyclic nucleotide binding (GO:0030551)	1/23	7.743811e-01	9.999961e-01	0	0	6.798214e-01	1.738243e-01	CNGA2
GO_Molecular_Function_2021	phosphatase inhibitor activity (GO:0019212)	1/23	7.743811e-01	9.999961e-01	0	0	6.798214e-01	1.738243e-01	PPP1R2C
GO_Molecular_Function_2021	fibroblast growth factor receptor binding (GO:0005104)	1/23	7.743811e-01	9.999961e-01	0	0	6.798214e-01	1.738243e-01	FGF3
GO_Molecular_Function_2021	transforming growth factor beta binding (GO:0050431)	1/24	7.885323e-01	9.999961e-01	0	0	6.502292e-01	1.544827e-01	SPINT3
GO_Molecular_Function_2021	Notch binding (GO:0005112)	1/24	7.885323e-01	9.999961e-01	0	0	6.502292e-01	1.544827e-01	NOTCH2NLB
GO_Molecular_Function_2021	nuclear localization sequence binding (GO:0008139)	1/24	7.885323e-01	9.999961e-01	0	0	6.502292e-01	1.544827e-01	POM121L12
GO_Molecular_Function_2021	growth factor receptor binding (GO:0070851)	5/105	7.946733e-01	9.999961e-01	0	0	7.470753e-01	1.716960e-01	IL4;IL21;IL3;IL36A;FGF3
GO_Molecular_Function_2021	ADP binding (GO:0043531)	1/27	8.258830e-01	9.999961e-01	0	0	5.751106e-01	1.100199e-01	PGK2
GO_Molecular_Function_2021	glutathione transferase activity (GO:0004364)	1/27	8.258830e-01	9.999961e-01	0	0	5.751106e-01	1.100199e-01	GSTA5
GO_Molecular_Function_2021	monocarboxylic acid transmembrane transporter activity (GO:0008028)	1/28	8.368061e-01	9.999961e-01	0	0	5.537806e-01	9.866316e-02	MPC1L
GO_Molecular_Function_2021	phospholipase A2 activity (GO:0004623)	1/29	8.470444e-01	9.999961e-01	0	0	5.339742e-01	8.864086e-02	PLA2G2E
GO_Molecular_Function_2021	protein phosphatase inhibitor activity (GO:0004864)	1/29	8.470444e-01	9.999961e-01	0	0	5.339742e-01	8.864086e-02	PPP1R2C
GO_Molecular_Function_2021	endopeptidase inhibitor activity (GO:0004866)	5/115	8.541836e-01	9.999961e-01	0	0	6.787952e-01	1.069843e-01	WFDC12;WFDC10A;CSN2;SERPINA9;WFDC13
GO_Molecular_Function_2021	iron ion binding (GO:0005506)	2/54	8.602953e-01	9.999961e-01	0	0	5.747710e-01	8.649127e-02	FTMT;FTHL17
GO_Molecular_Function_2021	monocarboxylic acid binding (GO:0033293)	1/31	8.656357e-01	9.999961e-01	0	0	4.983227e-01	7.190352e-02	UGT1A3
GO_Molecular_Function_2021	glucuronosyltransferase activity (GO:0015020)	1/31	8.656357e-01	9.999961e-01	0	0	4.983227e-01	7.190352e-02	UGT1A3
GO_Molecular_Function_2021	protein phosphatase regulator activity (GO:0019888)	2/57	8.799846e-01	9.999961e-01	0	0	5.433326e-01	6.946556e-02	PPP1R2C;PPP2R3B
GO_Molecular_Function_2021	nucleosomal DNA binding (GO:0031492)	1/33	8.819689e-01	9.999961e-01	0	0	4.671276e-01	5.867053e-02	H1-6
GO_Molecular_Function_2021	transmitter-gated ion channel activity (GO:0022824)	1/34	8.893756e-01	9.999961e-01	0	0	4.529480e-01	5.310163e-02	HTR3D
GO_Molecular_Function_2021	phosphoric diester hydrolase activity (GO:0008081)	1/36	9.028249e-01	9.999961e-01	0	0	4.270196e-01	4.365279e-02	PLCXD1
GO_Molecular_Function_2021	mRNA 3'-UTR binding (GO:0003730)	3/85	9.079311e-01	9.999961e-01	0	0	5.462927e-01	5.276467e-02	DAZ4;DAZ3;DAZ2
GO_Molecular_Function_2021	hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	1/37	9.089238e-01	9.999961e-01	0	0	4.151358e-01	3.964299e-02	ACER1
