experiment	description	simple_biosample_summary	file	output_type	file_size	bio_rep	tech_rep	name	species
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF475ORL	reads	398165089	2	2_1	ENCSR706ANY_2_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF329AYV	reads	330723491	3	3_1	ENCSR706ANY_3_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF902UIT	reads	343750644	4	4_1	ENCSR706ANY_4_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF132HLS	unfiltered alignments	473287391	1	1_1	ENCSR706ANY_1_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF810UWA	unfiltered alignments	502698267	3	3_1	ENCSR706ANY_3_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF234YIJ	unfiltered alignments	549961150	2	2_1	ENCSR706ANY_2_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF615XZM	unfiltered alignments	487333036	4	4_1	ENCSR706ANY_4_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF596ODX	alignments	134030159	2	2_1	ENCSR706ANY_2_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF192PJS	alignments	112128976	1	1_1	ENCSR706ANY_1_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF694CBG	alignments	113234636	3	3_1	ENCSR706ANY_3_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF538BNH	alignments	113744529	4	4_1	ENCSR706ANY_4_1	human
ENCSR634AKC	HepG2 Ljungman		ENCFF483HTA	reads	1812165763	1	1_1	ENCSR634AKC_1_1	human
ENCSR634AKC	HepG2 Ljungman		ENCFF834RIH	unfiltered alignments	2239019272	1	1_1	ENCSR634AKC_1_1	human
ENCSR634AKC	HepG2 Ljungman		ENCFF814ABW	alignments	646590857	1	1_1	ENCSR634AKC_1_1	human
ENCSR127HKN	LRGASP H1 definitive endoderm	male embryo	ENCFF712CBL	reads	1145706817	1	1_1	ENCSR127HKN_1_1	human
ENCSR127HKN	LRGASP H1 definitive endoderm	male embryo	ENCFF731HST	reads	925643555	2	2_1	ENCSR127HKN_2_1	human
ENCSR127HKN	LRGASP H1 definitive endoderm	male embryo	ENCFF235QXW	reads	1145241961	3	3_1	ENCSR127HKN_3_1	human
ENCSR127HKN	LRGASP H1 definitive endoderm	male embryo	ENCFF438WZJ	unfiltered alignments	1116888774	2	2_1	ENCSR127HKN_2_1	human
ENCSR127HKN	LRGASP H1 definitive endoderm	male embryo	ENCFF168AZV	alignments	355059671	2	2_1	ENCSR127HKN_2_1	human
ENCSR127HKN	LRGASP H1 definitive endoderm	male embryo	ENCFF874IIX	unfiltered alignments	1376586633	3	3_1	ENCSR127HKN_3_1	human
ENCSR127HKN	LRGASP H1 definitive endoderm	male embryo	ENCFF334KYW	unfiltered alignments	1373012532	1	1_1	ENCSR127HKN_1_1	human
ENCSR127HKN	LRGASP H1 definitive endoderm	male embryo	ENCFF362CPC	alignments	435575270	1	1_1	ENCSR127HKN_1_1	human
ENCSR127HKN	LRGASP H1 definitive endoderm	male embryo	ENCFF940WVU	alignments	450607355	3	3_1	ENCSR127HKN_3_1	human
ENCSR130CIK	H9-derived insulin-producing beta-like cells	female embryo (5 days)	ENCFF580BQX	reads	923215745	1	1_1	ENCSR130CIK_1_1	human
ENCSR130CIK	H9-derived insulin-producing beta-like cells	female embryo (5 days)	ENCFF489XQJ	reads	986634116	2	2_1	ENCSR130CIK_2_1	human
ENCSR130CIK	H9-derived insulin-producing beta-like cells	female embryo (5 days)	ENCFF408QQI	unfiltered alignments	1149326304	1	1_1	ENCSR130CIK_1_1	human
ENCSR130CIK	H9-derived insulin-producing beta-like cells	female embryo (5 days)	ENCFF324FZW	unfiltered alignments	1214894143	2	2_1	ENCSR130CIK_2_1	human
ENCSR130CIK	H9-derived insulin-producing beta-like cells	female embryo (5 days)	ENCFF973OML	alignments	318836147	2	2_1	ENCSR130CIK_2_1	human
ENCSR130CIK	H9-derived insulin-producing beta-like cells	female embryo (5 days)	ENCFF058HQU	alignments	293251167	1	1_1	ENCSR130CIK_1_1	human
ENCSR044ARQ	H9 ESCs		ENCFF688QGB	reads	2112733622	1	1_1	ENCSR044ARQ_1_1	human
ENCSR044ARQ	H9 ESCs		ENCFF272VSN	reads	1834721212	2	2_1	ENCSR044ARQ_2_1	human
ENCSR044ARQ	H9 ESCs		ENCFF292UIE	alignments	637096410	1	1_1	ENCSR044ARQ_1_1	human
ENCSR044ARQ	H9 ESCs		ENCFF193ZRQ	unfiltered alignments	2590963393	1	1_1	ENCSR044ARQ_1_1	human
ENCSR044ARQ	H9 ESCs		ENCFF455IAW	unfiltered alignments	2262018678	2	2_1	ENCSR044ARQ_2_1	human
ENCSR044ARQ	H9 ESCs		ENCFF738RAA	alignments	559674044	2	2_1	ENCSR044ARQ_2_1	human
ENCSR296PQZ	H9-derived osteocytes	female embryo (5 days)	ENCFF556DYU	reads	1358618393	1	1_1	ENCSR296PQZ_1_1	human
ENCSR296PQZ	H9-derived osteocytes	female embryo (5 days)	ENCFF560XTG	reads	1107297585	2	2_1	ENCSR296PQZ_2_1	human
ENCSR296PQZ	H9-derived osteocytes	female embryo (5 days)	ENCFF655UCV	unfiltered alignments	1354901029	2	2_1	ENCSR296PQZ_2_1	human
ENCSR296PQZ	H9-derived osteocytes	female embryo (5 days)	ENCFF660BPA	unfiltered alignments	1662570918	1	1_1	ENCSR296PQZ_1_1	human
ENCSR296PQZ	H9-derived osteocytes	female embryo (5 days)	ENCFF925MYC	alignments	419284032	1	1_1	ENCSR296PQZ_1_1	human
ENCSR296PQZ	H9-derived osteocytes	female embryo (5 days)	ENCFF558QPF	alignments	345564923	2	2_1	ENCSR296PQZ_2_1	human
ENCSR810XLL	MCF-7 cell line		ENCFF887DGG	reads	956949683	1	1_1	ENCSR810XLL_1_1	human
ENCSR810XLL	MCF-7 cell line		ENCFF476CVK	unfiltered alignments	1208578870	1	1_1	ENCSR810XLL_1_1	human
ENCSR810XLL	MCF-7 cell line		ENCFF118JEI	alignments	353572910	1	1_1	ENCSR810XLL_1_1	human
ENCSR526TQU	K562 Ljungman		ENCFF696GDL	reads	1170128370	1	1_1	ENCSR526TQU_1_1	human
ENCSR526TQU	K562 Ljungman		ENCFF322UJU	alignments	429705196	1	1_1	ENCSR526TQU_1_1	human
ENCSR526TQU	K562 Ljungman		ENCFF103OYU	unfiltered alignments	1458500968	1	1_1	ENCSR526TQU_1_1	human
ENCSR947JHA	PC-3 cell line		ENCFF834KTE	reads	1290120427	1	1_1	ENCSR947JHA_1_1	human
ENCSR947JHA	PC-3 cell line		ENCFF369ZIJ	unfiltered alignments	1581645243	1	1_1	ENCSR947JHA_1_1	human
ENCSR947JHA	PC-3 cell line		ENCFF044LIA	alignments	481809848	1	1_1	ENCSR947JHA_1_1	human
ENCSR962BVU	GM12878 Ljungman		ENCFF417VHJ	reads	849512680	1	1_1	ENCSR962BVU_1_1	human
ENCSR962BVU	GM12878 Ljungman		ENCFF277NCZ	unfiltered alignments	1063913123	1	1_1	ENCSR962BVU_1_1	human
ENCSR962BVU	GM12878 Ljungman		ENCFF219UJG	alignments	324766227	1	1_1	ENCSR962BVU_1_1	human
ENCSR530BOC	H9-derived pancreatic progenitors	female embryo (5 days)	ENCFF471YEK	reads	1113233125	1	1_1	ENCSR530BOC_1_1	human
ENCSR530BOC	H9-derived pancreatic progenitors	female embryo (5 days)	ENCFF988RQM	reads	732135374	2	2_1	ENCSR530BOC_2_1	human
ENCSR530BOC	H9-derived pancreatic progenitors	female embryo (5 days)	ENCFF528JQR	unfiltered alignments	901926147	2	2_1	ENCSR530BOC_2_1	human
ENCSR530BOC	H9-derived pancreatic progenitors	female embryo (5 days)	ENCFF509GHY	alignments	247059497	2	2_1	ENCSR530BOC_2_1	human
ENCSR530BOC	H9-derived pancreatic progenitors	female embryo (5 days)	ENCFF039JBB	unfiltered alignments	1368639255	1	1_1	ENCSR530BOC_1_1	human
ENCSR530BOC	H9-derived pancreatic progenitors	female embryo (5 days)	ENCFF803KIA	alignments	364287924	1	1_1	ENCSR530BOC_1_1	human
ENCSR271KEJ	LRGASP H1 ES		ENCFF853OFP	reads	548819161	1	1_1	ENCSR271KEJ_1_1	human
ENCSR271KEJ	LRGASP H1 ES		ENCFF400BQQ	reads	161774193	2	2_1	ENCSR271KEJ_2_1	human
ENCSR271KEJ	LRGASP H1 ES		ENCFF436GKZ	reads	962635867	3	3_1	ENCSR271KEJ_3_1	human
ENCSR271KEJ	LRGASP H1 ES		ENCFF510OTC	unfiltered alignments	656925353	1	1_1	ENCSR271KEJ_1_1	human
ENCSR271KEJ	LRGASP H1 ES		ENCFF410FON	unfiltered alignments	197552307	2	2_1	ENCSR271KEJ_2_1	human
ENCSR271KEJ	LRGASP H1 ES		ENCFF657BYH	unfiltered alignments	1155359504	3	3_1	ENCSR271KEJ_3_1	human
ENCSR271KEJ	LRGASP H1 ES		ENCFF213XDA	alignments	218443674	1	1_1	ENCSR271KEJ_1_1	human
ENCSR271KEJ	LRGASP H1 ES		ENCFF281VKZ	alignments	70990358	2	2_1	ENCSR271KEJ_2_1	human
ENCSR271KEJ	LRGASP H1 ES		ENCFF250BDM	alignments	370169092	3	3_1	ENCSR271KEJ_3_1	human
ENCSR887LTD	Homo sapiens HL-60		ENCFF609QIM	reads	1818249616	1	1_1	ENCSR887LTD_1_1	human
ENCSR887LTD	Homo sapiens HL-60		ENCFF274DYS	reads	1641311306	2	2_1	ENCSR887LTD_2_1	human
ENCSR887LTD	Homo sapiens HL-60		ENCFF810FRP	alignments	540367871	1	1_1	ENCSR887LTD_1_1	human
ENCSR887LTD	Homo sapiens HL-60		ENCFF067OVE	unfiltered alignments	2246136532	1	1_1	ENCSR887LTD_1_1	human
ENCSR887LTD	Homo sapiens HL-60		ENCFF494IOG	unfiltered alignments	2020859274	2	2_1	ENCSR887LTD_2_1	human
ENCSR887LTD	Homo sapiens HL-60		ENCFF600MGT	alignments	517171158	2	2_1	ENCSR887LTD_2_1	human
ENCSR983KDL	K562		ENCFF429VVB	reads	1534414828	1	1_1	ENCSR983KDL_1_1	human
ENCSR983KDL	K562		ENCFF634YSN	reads	1454275415	2	2_1	ENCSR983KDL_2_1	human
ENCSR983KDL	K562		ENCFF515YRZ	unfiltered alignments	1931993559	1	1_1	ENCSR983KDL_1_1	human
ENCSR983KDL	K562		ENCFF475XQX	unfiltered alignments	1854447877	2	2_1	ENCSR983KDL_2_1	human
ENCSR983KDL	K562		ENCFF661OEY	alignments	562568498	1	1_1	ENCSR983KDL_1_1	human
ENCSR983KDL	K562		ENCFF645UVN	alignments	527156336	2	2_1	ENCSR983KDL_2_1	human
ENCSR148IIG	PGP1 derived endothelial-cells	male adult (53 years)	ENCFF595PPR	reads	386495035	1	1_1	ENCSR148IIG_1_1	human
ENCSR148IIG	PGP1 derived endothelial-cells	male adult (53 years)	ENCFF770DXN	reads	268562337	1	1_2	ENCSR148IIG_1_2	human
ENCSR148IIG	PGP1 derived endothelial-cells	male adult (53 years)	ENCFF155FLU	unfiltered alignments	519005055	1	1_1	ENCSR148IIG_1_1	human
ENCSR148IIG	PGP1 derived endothelial-cells	male adult (53 years)	ENCFF295PZY	unfiltered alignments	357915235	1	1_2	ENCSR148IIG_1_2	human
ENCSR148IIG	PGP1 derived endothelial-cells	male adult (53 years)	ENCFF100RGC	alignments	129603170	1	1_1	ENCSR148IIG_1_1	human
ENCSR148IIG	PGP1 derived endothelial-cells	male adult (53 years)	ENCFF927MKK	alignments	93927341	1	1_2	ENCSR148IIG_1_2	human
ENCSR834DQL	Homo sapiens HepG2 immortalized cell line		ENCFF427JDY	reads	279497807	1	1_1	ENCSR834DQL_1_1	human
ENCSR834DQL	Homo sapiens HepG2 immortalized cell line		ENCFF589SMB	reads	525452432	2	2_1	ENCSR834DQL_2_1	human
ENCSR834DQL	Homo sapiens HepG2 immortalized cell line		ENCFF102RHW	unfiltered alignments	385287719	1	1_1	ENCSR834DQL_1_1	human
ENCSR834DQL	Homo sapiens HepG2 immortalized cell line		ENCFF978TOO	unfiltered alignments	729671578	2	2_1	ENCSR834DQL_2_1	human
ENCSR834DQL	Homo sapiens HepG2 immortalized cell line		ENCFF470UHX	alignments	176043861	2	2_1	ENCSR834DQL_2_1	human
ENCSR834DQL	Homo sapiens HepG2 immortalized cell line		ENCFF054YYA	alignments	98517409	1	1_1	ENCSR834DQL_1_1	human
ENCSR056MYH	H9-derived neural crest cells	female embryo (5 days)	ENCFF026VEI	reads	544772337	1	1_1	ENCSR056MYH_1_1	human
ENCSR056MYH	H9-derived neural crest cells	female embryo (5 days)	ENCFF249GFH	reads	702666139	2	2_1	ENCSR056MYH_2_1	human
ENCSR056MYH	H9-derived neural crest cells	female embryo (5 days)	ENCFF322UOY	unfiltered alignments	874141208	2	2_1	ENCSR056MYH_2_1	human
ENCSR056MYH	H9-derived neural crest cells	female embryo (5 days)	ENCFF858LGV	unfiltered alignments	674064259	1	1_1	ENCSR056MYH_1_1	human
ENCSR056MYH	H9-derived neural crest cells	female embryo (5 days)	ENCFF319JFG	alignments	188188945	1	1_1	ENCSR056MYH_1_1	human
ENCSR056MYH	H9-derived neural crest cells	female embryo (5 days)	ENCFF901XCR	alignments	235218236	2	2_1	ENCSR056MYH_2_1	human
ENCSR071IHY	ENC4_207, ENC4_208 - PGP1 derived astrocytes	male adult (53 years)	ENCFF316EZQ	reads	552314679	1	1_1	ENCSR071IHY_1_1	human
ENCSR071IHY	ENC4_207, ENC4_208 - PGP1 derived astrocytes	male adult (53 years)	ENCFF474GEK	reads	351003893	2	2_1	ENCSR071IHY_2_1	human
ENCSR071IHY	ENC4_207, ENC4_208 - PGP1 derived astrocytes	male adult (53 years)	ENCFF011XVU	unfiltered alignments	426397483	2	2_1	ENCSR071IHY_2_1	human
ENCSR071IHY	ENC4_207, ENC4_208 - PGP1 derived astrocytes	male adult (53 years)	ENCFF672WCL	unfiltered alignments	675082611	1	1_1	ENCSR071IHY_1_1	human
ENCSR071IHY	ENC4_207, ENC4_208 - PGP1 derived astrocytes	male adult (53 years)	ENCFF319FBW	alignments	196007505	1	1_1	ENCSR071IHY_1_1	human
ENCSR071IHY	ENC4_207, ENC4_208 - PGP1 derived astrocytes	male adult (53 years)	ENCFF992ZVE	alignments	132509246	2	2_1	ENCSR071IHY_2_1	human
ENCSR507JOF	LRGASP WTC11		ENCFF563QZR	reads	2331589097	1	1_1	ENCSR507JOF_1_1	human
ENCSR507JOF	LRGASP WTC11		ENCFF370NFS	reads	1079097341	2	2_1	ENCSR507JOF_2_1	human
ENCSR507JOF	LRGASP WTC11		ENCFF245IPA	reads	2450020425	3	3_1	ENCSR507JOF_3_1	human
ENCSR507JOF	LRGASP WTC11		ENCFF166IXJ	unfiltered alignments	2769463181	1	1_1	ENCSR507JOF_1_1	human
ENCSR507JOF	LRGASP WTC11		ENCFF169CBQ	unfiltered alignments	1319027341	2	2_1	ENCSR507JOF_2_1	human
ENCSR507JOF	LRGASP WTC11		ENCFF708JUG	unfiltered alignments	2927379092	3	3_1	ENCSR507JOF_3_1	human
ENCSR507JOF	LRGASP WTC11		ENCFF373TKM	alignments	878433020	1	1_1	ENCSR507JOF_1_1	human
ENCSR507JOF	LRGASP WTC11		ENCFF985LGZ	alignments	393981849	2	2_1	ENCSR507JOF_2_1	human
ENCSR507JOF	LRGASP WTC11		ENCFF388HXU	alignments	873221328	3	3_1	ENCSR507JOF_3_1	human
ENCSR435UUS	ENC4_58 W78 right cardiac atrium	male adult (60 years)	ENCFF242WRZ	reads	485270428	1	1_1	ENCSR435UUS_1_1	human
ENCSR435UUS	ENC4_58 W78 right cardiac atrium	male adult (60 years)	ENCFF330VRX	unfiltered alignments	600690042	1	1_1	ENCSR435UUS_1_1	human
ENCSR435UUS	ENC4_58 W78 right cardiac atrium	male adult (60 years)	ENCFF291EKY	alignments	180205763	1	1_1	ENCSR435UUS_1_1	human
ENCSR563RLX	ENC4_29 W61 adrenal gland	female adult (41 years)	ENCFF417ALN	reads	1075442830	1	1_1	ENCSR563RLX_1_1	human
ENCSR563RLX	ENC4_29 W61 adrenal gland	female adult (41 years)	ENCFF791WUV	alignments	358455844	1	1_1	ENCSR563RLX_1_1	human
ENCSR563RLX	ENC4_29 W61 adrenal gland	female adult (41 years)	ENCFF900XHI	unfiltered alignments	1308956918	1	1_1	ENCSR563RLX_1_1	human
ENCSR803QWH	ENC4_46 W61 psoas #2	female adult (41 years)	ENCFF630XEC	reads	472845478	1	1_1	ENCSR803QWH_1_1	human
ENCSR803QWH	ENC4_46 W61 psoas #2	female adult (41 years)	ENCFF947ICH	unfiltered alignments	591119805	1	1_1	ENCSR803QWH_1_1	human
ENCSR803QWH	ENC4_46 W61 psoas #2	female adult (41 years)	ENCFF193WEX	alignments	169665554	1	1_1	ENCSR803QWH_1_1	human
ENCSR549ELD	W61 cardiac septum ENC4_92	female adult (41 years)	ENCFF680XXE	reads	966929649	1	1_1	ENCSR549ELD_1_1	human
ENCSR549ELD	W61 cardiac septum ENC4_92	female adult (41 years)	ENCFF626QRV	alignments	387339122	1	1_1	ENCSR549ELD_1_1	human
ENCSR549ELD	W61 cardiac septum ENC4_92	female adult (41 years)	ENCFF516YCH	unfiltered alignments	1207629993	1	1_1	ENCSR549ELD_1_1	human
ENCSR432YKA	ENC4_42 W71 kidney	female adult (47 years)	ENCFF492BYP	reads	520624352	1	1_1	ENCSR432YKA_1_1	human
ENCSR432YKA	ENC4_42 W71 kidney	female adult (47 years)	ENCFF405KOD	unfiltered alignments	646291480	1	1_1	ENCSR432YKA_1_1	human
ENCSR432YKA	ENC4_42 W71 kidney	female adult (47 years)	ENCFF239CWJ	alignments	222976907	1	1_1	ENCSR432YKA_1_1	human
ENCSR261GOA	ENC4_80 W73 lower lobe of left lung	female adult (59 years)	ENCFF552NVU	reads	1508113793	1	1_1	ENCSR261GOA_1_1	human
ENCSR261GOA	ENC4_80 W73 lower lobe of left lung	female adult (59 years)	ENCFF779VVX	alignments	467876097	1	1_1	ENCSR261GOA_1_1	human
ENCSR261GOA	ENC4_80 W73 lower lobe of left lung	female adult (59 years)	ENCFF243QTD	unfiltered alignments	1891536816	1	1_1	ENCSR261GOA_1_1	human
ENCSR700EBI	W61 aorta ENC4_88	female adult (41 years)	ENCFF144KHH	reads	616290149	1	1_1	ENCSR700EBI_1_1	human
ENCSR700EBI	W61 aorta ENC4_88	female adult (41 years)	ENCFF266NIM	unfiltered alignments	766086734	1	1_1	ENCSR700EBI_1_1	human
ENCSR700EBI	W61 aorta ENC4_88	female adult (41 years)	ENCFF099TJN	alignments	306161247	1	1_1	ENCSR700EBI_1_1	human
